step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,silhouette_clsuter_8,std_year_cluster_8,silhouette_by_std_year_cluster_8,silhouette_clsuter_9,std_year_cluster_9,silhouette_by_std_year_cluster_9,silhouette_clsuter_10,std_year_cluster_10,silhouette_by_std_year_cluster_10,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.2090583,0.13728979,3.633265279172764,0.03778688913420858,0.1350504,3.587772588473949,0.037641850970554135,0.13975295,3.393467487322855,0.04118293596938697,0.1711674,3.685059146895929,0.0464490247337631,0.41726103,3.6858525764741246,0.11320611055187943,0.23910022,3.511745732152014,0.06808585702265299,0.24189304,3.4576314753746002,0.06995917288364042,0.41439092,2.5557495878271546,0.16214065868050045,0.10090574,3.6194071220475323,0.02787907946478219,0.42301032,3.4403526094133876,0.12295551284886652,1.7319142,0.12287797,3.457030360515431,0.07272870922602348
0.11,0.2081003,0.4139301,2.5557495878271546,0.16196034629259054,0.41887638,3.69052823638947,0.113500386095979,0.16317558,3.63288943338389,0.04491619849100409,0.14534022,3.37887537191568,0.043014377016708676,0.11150026,3.560262385676996,0.0313179903994377,0.22875732,3.548730032495267,0.06446174257829214,0.42690602,3.4281773583057222,0.12452856863281425,0.10263305,3.62426430085214,0.028318313195342577,0.13777424,3.657793336067889,0.03766594536446679,0.2754917,3.4019630438449595,0.08098021963406557,1.7329464,0.1261758,3.4479233086759167,0.07306640877007013
0.21,0.20873132,0.4139866,2.4936376727150336,0.16601713954463018,0.16384317,3.6956433100144506,0.04433414051740483,0.2475517,3.4962084783387217,0.07080575888025857,0.4249347,3.416162169108975,0.12438949446626806,0.24875872,3.4488518778677797,0.07212797973950219,0.09727131,3.609465853834885,0.026948948193964272,0.14280744,3.3895345414923117,0.04213187304081528,0.41083333,3.683898273066046,0.11152135550702828,0.13830136,3.6413416712063373,0.037980879059090665,0.12872975,3.540347873920766,0.036360761803640736,1.7332672,0.1233298,3.441509172156531,0.07326183307526031
0.31,0.20486869,0.101233795,3.577827237728645,0.028294769020063802,0.43397775,3.421423931171916,0.12684126891440728,0.22329837,3.4617106137398337,0.06450521021366559,0.16060983,3.687962032767208,0.043549750517650615,0.42427984,3.7305628776543025,0.11373078345410662,0.09213115,3.3223195486534465,0.027730972713447394,0.41182515,2.3434721830123157,0.17573289464952196,0.14421953,3.593485288473188,0.04013360874791904,0.1449983,3.3602023266623053,0.04315165665614124,0.26083308,3.4090364704132603,0.07651225994413108,1.7334499,0.12940088,3.3908002510276427,0.07401831748310547
0.41000000000000003,0.14736608,0.16036564,3.0137561840416116,0.05321121926394087,0.26494947,2.9758444825333012,0.08903337264885891,0.09585532,2.771181012520158,0.03459006018617346,0.062400598,1.9684064475282634,0.03170107380887867,0.47507092,3.389912383643373,0.14014253756500536,0.15935567,2.832573110925178,0.056258272592883025,0.40588552,2.2209769407105653,0.18275089225705426,0.44515613,3.347056422425217,0.13299928983326778,0.15254718,2.6163259016298324,0.05830587869714152,-0.11819142,1.8537522395687254,-0.06375793836367749,1.7294754,0.17827053,2.6989785125526224,0.07152346584895264
0.51,0.09826151,0.15255985,2.255925907691638,0.06762626650080858,0.09596342,2.2273541312601126,0.043084041795115616,0.17718326,1.9587134199957683,0.09045899912894267,0.40118715,2.099888091170463,0.1910516819240767,-0.1958385,1.479449029869155,-0.1323725874532507,-0.011706859,1.5457824943502554,-0.007573419233401332,0.17566441,2.2924854904575063,0.07662618181283323,0.024377856,1.4817637571909974,0.01645191838799103,0.4146721,2.9997040129012817,0.13823767435753564,0.4461504,2.765193686117032,0.1613450784781835,1.7362454,0.19582188,2.110626002100421,0.0644935835698835
0.61,0.065731466,0.09896198,1.9050502013966113,0.05194717655115969,0.057033107,1.533194397300437,0.03719887496660923,-0.048561566,1.2225547149534752,-0.039721384232551005,-0.21576867,1.205321861145244,-0.1790133175468071,0.44756413,2.4461301075300517,0.18296824182952282,0.43592116,2.759657579678015,0.1579620477471442,0.14726236,1.654828660944013,0.0889894936566566,0.41320348,1.943958740347494,0.21255774069856778,0.19893885,2.051254598864529,0.09698398565358841,-0.027576288,1.3902019551305316,-0.019836174238279065,1.7303622,0.21400082,1.8112152817290403,0.05900366850856116
0.71,0.043381598,0.04901157,1.4807162044992328,0.03309990754558029,-0.018245295,1.3752107018583455,-0.013267272182711322,-0.20407161,1.2359708075533096,-0.16511038118284876,0.38641134,1.7997414095090751,0.214703810782447,0.07189245,1.6833047627777546,0.042709109698594594,0.13855551,1.5229225159467064,0.09098001400688852,-0.05562394,1.1319122627719975,-0.04914156596136282,0.4536379,2.5629306764634694,0.17699967546303555,0.041760772,1.4354027926907116,0.029093417317641937,0.31596208,1.9398289336916388,0.16288141222114594,1.7404671,0.19734356,1.6167941067762244,0.052294812770841095
0.81,0.028215656,0.117445335,1.5128146063682084,0.0776336599988854,0.06773695,1.4214680160324416,0.04765281577421511,-0.19126691,1.1359878657687943,-0.16837055659237524,0.040177193,1.4010095378419765,0.028677315502693146,-0.068775505,1.0567043167241084,-0.06508490950496966,0.05129782,1.3580975791757792,0.03777182279910906,-0.071378075,1.1711268529177181,-0.06094820079358763,0.1674281,1.487246654415807,0.11257588347733138,0.3877349,1.637970545726573,0.2367166436513295,0.44493276,2.3711724755092694,0.1876425116281663,1.7462196,0.18868111,1.4553598450480674,0.043426698594079736
0.91,-0.006599258,0.05144539,1.301839978250342,0.03951744599075956,0.050405152,1.1455142132668639,0.04400220578520686,0.07818236,0.9991907085685854,0.07824568558290312,-0.05384965,0.8462912269016216,-0.06363016296578372,-0.16880642,1.1075682245507563,-0.15241175670689014,-0.048734616,0.9676434648878797,-0.05036422841326703,0.3230362,1.553707048684582,0.2079131932375212,-0.1659954,0.8435320985667035,-0.19678611448967123,0.39475116,1.4063395740084148,0.28069405756090654,0.09944456,1.3911691506521893,0.07148272419640357,1.7443533,0.17645067,1.1562795688337937,0.025866304977808875
1.01,-0.011949513,0.08680555,1.245547814174892,0.06969266956780008,-0.07773367,0.8876217256723413,-0.08757522591780562,-0.14328495,0.8094988334417925,-0.17700451286737026,0.1450903,1.2832355648900489,0.1130659879091968,0.0732911,0.9700656540166461,0.0755527218783082,0.02319911,0.8482748820472356,0.02734857515123718,0.40224126,1.2906543494035745,0.31165684290235324,-0.12406886,0.8439110250951617,-0.14701652188500453,-0.12323818,0.8849876765748943,-0.13925412389350697,0.044104066,1.072934548032679,0.04110601697646672,1.7434604,0.15684539,1.0136732073349266,0.008757242982167483
1.11,-0.019721638,-0.07298642,0.8810717723955551,-0.08283821909337157,-0.09743346,0.6649083825665051,-0.14653667376384047,0.03213908,0.7478225675269674,0.04297688101898883,0.07063858,0.9353788227560486,0.07551868867660676,0.067666076,0.9840400193566872,0.0687635409055324,-0.115180634,0.7737179432986628,-0.1488664376466367,-0.11220706,0.4994804278144397,-0.22464756633892405,-0.021649968,0.844992814070651,-0.025621481648773817,-0.026109673,0.9140354861013882,-0.028565272880370796,0.4487677,1.2682734962064366,0.35384141763821614,1.7548227,0.15836868,0.8513721732093341,-0.01159751231325733
