step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,silhouette_clsuter_8,std_year_cluster_8,silhouette_by_std_year_cluster_8,silhouette_clsuter_9,std_year_cluster_9,silhouette_by_std_year_cluster_9,silhouette_clsuter_10,std_year_cluster_10,silhouette_by_std_year_cluster_10,silhouette_clsuter_11,std_year_cluster_11,silhouette_by_std_year_cluster_11,silhouette_clsuter_12,std_year_cluster_12,silhouette_by_std_year_cluster_12,silhouette_clsuter_13,std_year_cluster_13,silhouette_by_std_year_cluster_13,silhouette_clsuter_14,std_year_cluster_14,silhouette_by_std_year_cluster_14,silhouette_clsuter_15,std_year_cluster_15,silhouette_by_std_year_cluster_15,silhouette_clsuter_16,std_year_cluster_16,silhouette_by_std_year_cluster_16,silhouette_clsuter_17,std_year_cluster_17,silhouette_by_std_year_cluster_17,silhouette_clsuter_18,std_year_cluster_18,silhouette_by_std_year_cluster_18,silhouette_clsuter_19,std_year_cluster_19,silhouette_by_std_year_cluster_19,silhouette_clsuter_20,std_year_cluster_20,silhouette_by_std_year_cluster_20,silhouette_clsuter_21,std_year_cluster_21,silhouette_by_std_year_cluster_21,silhouette_clsuter_22,std_year_cluster_22,silhouette_by_std_year_cluster_22,silhouette_clsuter_23,std_year_cluster_23,silhouette_by_std_year_cluster_23,silhouette_clsuter_24,std_year_cluster_24,silhouette_by_std_year_cluster_24,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.21076548,0.3172567,3.676462807116697,0.08629400206566132,0.14031966,3.61114917585847,0.038857342489214394,0.40255994,2.4626155134451744,0.1634684480174589,0.42240736,3.580877549382084,0.11796196688091219,0.42160603,3.4515670556035527,0.12214916507444981,0.10928424,3.5100791495484,0.031134408191686665,0.299175,3.397368397654978,0.08806080448525244,0.1893136,3.3821302547661047,0.05597466424037362,0.18104507,3.6454035409303023,0.04966393110057797,0.1432353,3.220050711775375,0.04448231063168514,0.13877995,3.7595378615158896,0.03691409908189654,0.07890054,3.5162868141876973,0.022438595755773505,0.05822998,3.6111855203911944,0.016124892725350073,0.07421041,3.859008220313147,0.01923043656908564,0.26861405,3.562452720774705,0.07540143681339367,0.08714956,3.358365813672196,0.025949990348494562,0.08779338,3.554258549249899,0.02470089859967478,0.22293124,3.2246538286270314,0.06913338543492255,0.1847829,3.7510260345296476,0.04926196343767129,0.14532247,3.2258126645759786,0.04504987950878823,0.105768755,3.6863593885889827,0.028691927164160882,0.29146484,3.250659424501667,0.08966329514819349,0.2045182,3.281607687010501,0.062322562132127744,0.34094483,3.458072279303729,0.09859389829514606,1.7538353,0.112428844,3.4598746234718085,0.060896846007997975
0.11,0.21583344,0.21081117,3.1645124330040173,0.06661726645683586,0.06752461,3.528835094300818,0.01913509986878533,0.19933927,3.3136051648235747,0.060157822274021354,0.05646513,3.567529721694533,0.015827515032589418,0.26070115,3.6079009344135784,0.07225840022806669,0.3983624,2.505008839699782,0.15902634427243204,0.07975835,3.2076657508843383,0.02486492038934282,0.108796895,3.705184889007348,0.029363418509317934,0.427838,3.4490330192133043,0.12404578190223539,0.2641368,3.6834298559746794,0.07170946687115731,0.06397534,3.8821951273183246,0.016479166945493756,0.14270811,3.2381457560703795,0.04407093397867179,0.34367782,3.4354058386555537,0.10003994721906724,0.37136325,3.4136785122384374,0.1087868266065393,0.19878699,3.159479649506428,0.06291763546742979,0.30735952,3.284198650768907,0.09358737071177957,0.12629104,3.5669012153429467,0.035406373482561516,0.11748057,3.6866825857578176,0.03186620107779939,0.120268464,3.5256193693663485,0.03411271935179308,0.45596224,3.590476115736266,0.12699213864634032,0.1400351,3.6282749245169343,0.03859550219979599,0.20464563,3.251952605482777,0.06293007879403845,0.09743439,3.753232018023248,0.025960128801816397,0.18682165,3.5563107554268045,0.05253243242421637,1.7583295,0.11918216,3.4460524511344643,0.0615534788130053
0.21,0.21138552,0.31735617,3.2128427096021976,0.09877737502533365,0.4242877,3.582475521113159,0.11843422351751465,0.14131579,3.4435127617786674,0.04103826464625354,0.092543475,3.490795349761003,0.026510713478580725,0.060819075,3.8331691056848065,0.01586652527834733,0.08256259,3.274805978220916,0.025211444190694588,0.13231042,3.1699861940221865,0.04173848470515088,0.089263,3.63919871853948,0.024528201534989413,0.20906599,3.6400978516855687,0.05743416720598581,0.42325824,3.4805041150655076,0.12160831620891108,0.18991776,3.2634827638810537,0.058194809609267914,0.2931826,3.437430843588674,0.08529120287969831,0.27146688,3.727866620725032,0.07282097474398397,0.3990789,2.43099202430247,0.16416298432609486,0.29222983,3.492187181485028,0.08368103312676695,0.22442243,3.734546558078643,0.06009362088315302,0.1745303,3.40084707801861,0.051319654637179614,0.092504464,3.5511653017002747,0.02604904481511461,0.12297844,3.2693864696503803,0.03761514356250708,0.09767891,3.38628975413666,0.028845407306410092,0.34632304,3.419970923003664,0.1012649086512761,0.08899748,3.606783351491255,0.02467502884992586,0.104741804,3.6808741188083194,0.0284556876766133,0.19087295,2.986917197655868,0.06390299419476055,1.7557193,0.11419394,3.423172020499976,0.060730008793938084
0.31,0.15359147,0.035200708,1.9240268896919166,0.01829533038390037,0.14120393,3.284254257361869,0.0429942123686144,-0.004545138,2.1171630059109834,-0.00214680598745541,0.035995748,2.0873717240207674,0.017244531714127296,0.2170497,2.7739057701708454,0.07824696330207637,0.037790526,1.6799193050514405,0.02249544105540539,0.07416643,2.46781206302795,0.030053517094834142,0.44270152,3.403360495671277,0.1300777625816262,0.14989668,2.462430697979706,0.06087346191376213,0.3985889,2.3496020751222337,0.16964102135336837,0.08842938,2.6152436981561156,0.033813054035962666,-0.043619078,2.0117267887045016,-0.02168240632754228,0.034677714,2.918787802399141,0.011880861664872285,0.18720055,2.754997207592765,0.06794945045632868,-0.03077678,2.0543239553634782,-0.01498146386227154,0.2007564,2.568953589310159,0.07814714974181462,-0.006956415,2.41686583144415,-0.002878279255195334,-0.11402219,1.5189035094744334,-0.07506875004066316,-0.008019517,1.748322298483606,-0.004586978718288338,0.34017393,2.832144714095921,0.12011177544588282,0.46697414,3.4765074016321957,0.1343227800965765,0.33001235,3.2370219075905564,0.10194937219937804,0.28470364,2.780054662034565,0.10240936842642495,0.36012548,3.3554898046248995,0.10732426651572685,1.739699,0.1661206,2.534966227288145,0.05027023483996942
0.41000000000000003,0.094516344,-0.014487844,1.74385277635601,-0.008307951311576712,-0.08234089,2.2454544764733493,-0.036670032522035344,0.02279676,2.0234006989654394,0.011266557036155138,0.0042791767,1.7508760037929636,0.0024440204191019076,0.39832842,2.1792890766403183,0.18277906670102734,0.1692661,2.205403331564384,0.07675063435136542,0.4543544,3.371785942673897,0.1347518535066982,-0.030764516,2.0760229467453497,-0.014818967435424884,0.22762682,2.130606362815589,0.10683663552823644,-0.11302029,1.5185294960610263,-0.07442746005774702,0.064594105,1.6000511715925456,0.040370024429758636,-0.039834164,2.187714275219687,-0.018208120015582887,0.19781141,2.0888286178614766,0.094699683899182,0.028263355,2.132886612520424,0.013251222314430941,0.011660173,1.6449262332777026,0.007088568695746429,0.014764188,2.0009687252645367,0.007378520049360977,-0.012022079,1.294582506448591,-0.009286452511678478,0.25112203,2.7692613997148348,0.09068195139015539,0.25207546,2.1910655342967242,0.11504697581503934,-0.025908554,1.9813462657222132,-0.01307623731452941,0.15594402,2.170030741272306,0.07186258544181469,0.037294384,1.7306283192375669,0.02154962083858807,0.34244984,3.160184849672534,0.10836386482866654,0.021759557,1.8317239609435405,0.011879277156588241,1.7430786,0.1522552,2.0845591802138754,0.038425243384722536
0.51,0.040970106,-0.02085481,1.6749421063225112,-0.012451063337690119,-0.076734975,1.5972590368476263,-0.04804165962447743,0.19495454,1.9255882549830459,0.10124414905486526,0.18931127,1.8875540888390365,0.10029448536856117,-0.07819398,1.4107990480864498,-0.05542531204654939,0.4319168,2.1422545313993675,0.20161787350237476,0.004180806,2.0360290167254944,0.0020534119057040692,0.0080666635,1.6469972236639372,0.004897800313592987,0.060141455,1.87520801652144,0.032071884746777406,-0.06351623,1.8066099107133526,-0.03515768900327697,-0.11266472,1.2815566750941687,-0.08791239911251413,0.0038537658,1.7131058444867608,0.0022495783283743354,0.21847627,2.209246735074038,0.09889174540821366,0.14819326,2.40374048048362,0.06165110429768855,0.04986861,1.481364961365136,0.033663959292162156,-0.031427756,1.904422746797756,-0.01650251027757701,0.05507147,2.086802182422238,0.02639036409882849,0.01853558,1.9324348684235095,0.009591826761633945,-0.0039264327,1.1886682115401461,-0.0033032200688088145,-0.06796579,2.0070857858598257,-0.03386292260560786,0.0022160283,1.7110349510067084,0.0012951391092946522,0.04643446,1.3648408346604686,0.03402188531142995,0.0026021125,1.2592805426591078,0.0020663485151714324,0.091496795,1.874178434105831,0.04881968213423144,1.7503133,0.1185483,1.7675418536700658,0.019506852586350105
0.61,0.035179377,0.015945636,1.1604627860348513,0.013740755781124835,-0.041348506,1.6470501686293473,-0.025104581847442645,-0.09816613,1.69989899926446,-0.05774821358541102,-0.0033302852,1.1400886695041235,-0.002921075600821235,-0.07091354,1.3729971923632227,-0.051648713290299186,0.068966046,1.3419139408663128,0.0513937920125951,0.0050456836,1.5352751569430716,0.003286501163009252,0.028797975,2.024625253637565,0.014223854393925019,-0.084993705,1.4919132546597935,-0.05696960254760033,0.045107424,1.4600702951814826,0.030894008602222175,0.29540083,2.0476368416202817,0.14426426704129033,-0.056092355,1.164681457983444,-0.048161113080175115,0.1651871,1.7038820454584427,0.09694750054838215,0.42636165,1.9444250816790993,0.21927388935978842,0.0702542,1.8367083590363078,0.03825005688093582,-0.17856637,1.1001757550731655,-0.16230712739367903,0.20851626,1.895362680691488,0.11001390770500027,-0.012298039,1.3139337519389982,-0.009359710215618093,0.012328191,1.3617889457200287,0.00905293787834623,0.100256555,2.089389576242637,0.0479836579651568,-0.024785971,1.4321084944460558,-0.0173073278771374,0.15581739,1.5042231975050582,0.10358661516898741,0.15642492,1.9120124393758557,0.08181166686463445,-0.23455384,1.1906068279296982,-0.1970036104567832,1.7519144,0.14266342,1.5571346321576993,0.014008013977934627
0.71,0.015802,0.036704008,1.2453167321516772,0.029473632360785134,-0.046471268,1.4743162622713724,-0.031520555750378126,0.43682295,1.90208798972251,0.22965443933207483,0.010076018,1.374565577504218,0.007330329098308936,-0.006103968,1.162121586153003,-0.005252434732166087,-0.10892925,1.3336536102978962,-0.0816773154760297,-0.07347644,1.3772954660453054,-0.05334835045636527,-0.061388664,1.391918278118292,-0.04410364093398674,0.06975001,1.8962667703672642,0.036782805065842944,0.016746398,1.8108318904949603,0.009247903214768632,-0.013211151,1.4424604017432194,-0.00915876140356752,-0.084969305,1.4963808190282164,-0.05678320880722819,0.16248254,1.4487263891816373,0.11215543942121559,0.020391028,1.125274555499724,0.018120936152669024,0.10163333,1.9684683370825302,0.05163066672454883,-0.016817654,1.168846640554612,-0.014388246471511297,-0.084706105,0.9739541209937423,-0.08697135056568815,-0.103366025,1.1647214103461911,-0.08874742395391426,-0.06983068,1.3711337660383276,-0.050929150848018384,0.12851192,1.833439485315982,0.0700933527397982,-0.012516575,1.1498692477497705,-0.010885215826598703,0.06525893,1.7531951881709655,0.03722285349834948,0.057651717,1.2988901156323829,0.044385369110078954,0.0068712933,1.140281619493913,0.006025961640905682,1.7529569,0.11268589,1.4293340108315713,0.004931584713912242
0.81,0.007995387,-0.05648997,0.9773332322772925,-0.0578001122538442,0.048792824,1.333506860844686,0.03658985610184625,0.04280637,1.6920958958629202,0.025297838276092697,0.41927332,1.5788620349020688,0.2655541191008529,-0.0805088,1.187986653837981,-0.06776911011645462,0.0039992966,1.157568744362025,0.003454910643763822,-0.1386689,1.1127742373985923,-0.12461547913971921,-0.019241957,1.1096108760152636,-0.017341175550691704,0.0037428758,0.9884590915662741,0.003786576294437872,-0.087216124,0.8824480385641531,-0.0988342883967099,0.294176,1.7442777930814144,0.16865204237790377,-0.24413216,0.8703595275995353,-0.28049576456497477,0.18865842,1.37468321470512,0.13723773903188188,0.07200372,1.2512752096744084,0.05754427294183576,-0.05314185,1.4695301299651689,-0.03616247798838643,0.02009574,1.5189376015377798,0.013230128409021286,-0.058918092,1.3751618560058658,-0.04284447837359464,0.04451081,1.5767102460600877,0.0282301784227831,-0.1595133,1.384819417137613,-0.11518707256901253,-0.016892942,1.1442043844207495,-0.014763919714554891,0.08755117,1.7499945037947369,0.050029396611003724,-0.0064675817,1.0466486827682335,-0.0061793243837128305,0.021104971,1.2878776964408438,0.016387403093658135,-0.029759822,0.9180874285198766,-0.032415020061110675,1.752303,0.13595834,1.2805505565559454,-0.0036839067419868828
0.91,-0.0047462317,-0.013319259,0.6941252630578079,-0.019188551817645647,-0.047039237,1.357486075110826,-0.03465172699436197,0.0008140636,1.0239783049104663,0.0007950008189113375,0.016396664,1.5198390445300762,0.01078842140686926,0.0013528728,1.0952735166203942,0.0012351917538268554,-0.015685445,1.31939386296242,-0.011888371727392565,0.418228,1.4337485998441009,0.29170246474725536,0.21636277,1.41856825658713,0.15252193425830518,-0.029769614,1.0416084191145314,-0.02858042791568629,-0.111587524,1.2531055173049075,-0.08904878549577949,0.10548841,1.270967472792588,0.08299851439188655,0.01110229,1.1375466056171233,0.009759854970258615,-0.08128577,1.2226871388786356,-0.0664812482870829,-0.024291346,0.9191001025955511,-0.026429488780421336,-0.012087849,1.2,-0.010073207474003237,-0.13555628,1.1049064440573817,-0.12268575438402063,-0.0031185404,1.1812646106323554,-0.002640001541669124,-0.018431202,0.9222390700592499,-0.019985275158644556,-0.041672766,0.9235873759461802,-0.045120545488136966,-0.22053273,0.7494230768377004,-0.2942700018690621,-0.035487175,0.8803337436459024,-0.040311047081783805,-0.0006660857,1.6083047363934682,-0.0004141539061537609,-0.06658421,1.3464796901415046,-0.04945058407123842,0.102534585,1.730814880405025,0.05924064200156825,1.7462721,0.11934908,1.1814492420018885,-0.010507381151841728
