step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.12672827,0.1582355,3.6335694691917575,0.043548226218025704,0.1314737,3.422318520263371,0.03841656011680086,0.10146201,3.6347126020582627,0.02791472605329314,0.19973792,3.5589258166616102,0.056123092092016574,0.05712091,3.3197929503113626,0.017206166960400993,1.7616698,0.048554704,3.5138638716972728,0.03664175428810746
0.11,0.12677522,0.24147858,3.5627334151961327,0.06777901939736039,0.11807475,3.620508188239992,0.032612756621822024,0.10458135,3.4441830267173943,0.030364631550280446,0.09621267,3.3357905772108225,0.02884253911631065,0.104695514,3.6282936011062126,0.028855303719789917,1.7632198,0.054685347,3.5183017616941106,0.037690850081112684
0.21,0.12675716,0.13935837,3.6801557606531863,0.037867519898523536,0.20421039,3.5928055122324167,0.05683869749835443,0.13035907,3.6052981942446065,0.03615763842253548,0.12996762,3.4203358601003724,0.037998494979536945,0.056347482,3.336457086262134,0.016888417998368644,1.7403101,0.046901174,3.527010482698543,0.0371501537594638
0.31,0.12691422,0.19442193,3.649016698207931,0.05328063645111086,0.12963916,3.3873691609843952,0.03827134199203882,0.22441874,3.487876277505509,0.06434251865302656,0.07068565,3.5682281501720396,0.019809733137335313,0.058428258,3.065575787906461,0.01905947259052528,1.7621912,0.06565613,3.4316132149552674,0.03895274056480737
0.41000000000000003,0.063477315,-0.07815158,1.95276438130751,-0.04002100018807285,0.04776377,1.889597911023745,0.02527721284241827,0.05266495,2.356221281248136,0.022351445048531357,0.12500444,2.3886138024881465,0.05233346655529765,0.40234932,3.1921936031512876,0.12604164190952988,1.7479999,0.16015925,2.355878195843765,0.03719655323354086
0.51,0.025411706,0.023129486,1.573570722677189,0.014698726415163154,0.03386535,1.4623523593223877,0.023158133546964235,-0.0061606984,1.9031852162660852,-0.003237046143888695,0.4430582,2.1000482708435704,0.21097524227477757,-0.054489966,1.8068709516431056,-0.030157088104367815,1.7382946,0.180208,1.7692055041504677,0.04308759359772969
0.61,0.022268144,-0.039555956,1.3673292643721062,-0.0289293564534283,0.08822718,1.8447168356098784,0.047826951499337085,-0.021597909,1.1848280390444836,-0.018228728640823626,0.38783267,1.9046345582625446,0.2036257662770099,0.0084416745,1.1845371436683225,0.007126559574918043,1.7170919,0.15776943,1.497209168191467,0.04228423845140262
0.71,0.018437108,0.40011606,1.7555233389933345,0.22791839180747078,-0.038266595,1.3687297449922027,-0.027957743735043842,0.08555471,1.5512991090114874,0.05515036463547554,-0.031595692,1.161448929709127,-0.027203686042785273,0.011590217,1.182572326647462,0.009800852750387348,1.7146988,0.16338634,1.4039146898707227,0.04754163588310091
0.81,0.0013737852,0.015187948,0.8975428122494453,0.016921697554234144,-0.025194816,0.8092077207055258,-0.031135165479347603,-0.02379383,1.122022933775649,-0.02120618829502549,-0.03709459,0.7485787796629386,-0.04955335407651808,0.14127924,1.307833809498347,0.10802537329755003,1.7582146,0.065994926,0.9770372111783813,0.004610472600178603
0.91,0.0010114468,0.14215048,1.2640869753555013,0.11245308222159361,-0.03647826,0.7467177312557679,-0.04885146976224907,-0.02334383,1.122022933775649,-0.02080512682529355,0.015208818,0.8966042240682413,0.016962688341382245,-0.026662018,0.8090970208411101,-0.032952807220046655,1.7582142,0.06636244,0.9677057770592541,0.005361273351077315
1.01,-0.0021043606,-0.034332942,0.8071953467098983,-0.04253362257045753,-0.02331011,1.122022933775649,-0.020775074440336442,0.13824627,1.1161787974869557,0.1238567408243543,-0.03667836,0.7467177312557679,-0.04911944283254843,0.017367912,0.8965631895953762,0.019371654622839775,1.7555393,0.06592378,0.9377355997647294,0.0061600511207703336
1.11,-0.0025426254,-0.023253566,1.122022933775649,-0.020724679464357715,0.017596118,0.8965631895953762,0.01962618848994101,-0.03558693,0.8064947510031147,-0.044125433881798126,-0.036630314,0.7467177312557679,-0.04905510115835454,0.13815132,1.088364306074711,0.12693481131617587,1.7554846,0.06605709,0.9320325823409238,0.006531157060321299
1.21,-0.003063385,-0.036662377,0.7467177312557679,-0.049098040507799125,0.13680677,1.0665211518845148,0.12827384709383222,-0.023306206,1.122022933775649,-0.020771594917667818,-0.036955465,0.8061362291685483,-0.04584270411644325,0.01798899,0.8963309186143483,0.020069584520716933,1.7555664,0.065761514,0.9275457929397657,0.006526218414527793
1.31,-0.0031201013,0.017939417,0.8975428122494453,0.01998725458755627,-0.036604986,0.7467177312557679,-0.049021181716403364,-0.023275176,1.122022933775649,-0.02074393968477822,0.1371018,1.0605265877245222,0.12927709765751014,-0.03705746,0.8062963250690781,-0.04596009953440604,1.7555084,0.0658763,0.9266212780148926,0.006707826261895758
1.41,-0.016999511,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.028146923,0.49989864294056563,-0.0563052590476723,-0.008900908,0.49928566185550627,-0.017827285063373655,-0.028933214,0.6305814725986215,-0.04588338744631323,-0.011956758,0.7467177312557679,-0.01601241990830762,1.7964252,0.0110121295,0.6997012884852221,-0.02738392025486717
1.51,-0.016999511,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.028146923,0.49989864294056563,-0.0563052590476723,-0.008900908,0.49928566185550627,-0.017827285063373655,-0.028933214,0.6305814725986215,-0.04588338744631323,-0.011956758,0.7467177312557679,-0.01601241990830762,1.7964252,0.0110121295,0.6997012884852221,-0.02738392025486717
1.61,-0.016999511,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.028146923,0.49989864294056563,-0.0563052590476723,-0.008900908,0.49928566185550627,-0.017827285063373655,-0.028933214,0.6305814725986215,-0.04588338744631323,-0.011956758,0.7467177312557679,-0.01601241990830762,1.7964252,0.0110121295,0.6997012884852221,-0.02738392025486717
1.71,-0.016999511,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.028933214,0.6305814725986215,-0.04588338744631323,-0.008900908,0.49928566185550627,-0.017827285063373655,-0.011956758,0.7467177312557679,-0.01601241990830762,-0.028146923,0.49989864294056563,-0.0563052590476723,1.7964255,0.0110121295,0.6997012884852221,-0.02738392025486717
1.81,-0.016999511,-0.028146923,0.49989864294056563,-0.0563052590476723,-0.011956758,0.7467177312557679,-0.01601241990830762,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.028933214,0.6305814725986215,-0.04588338744631323,-0.008900908,0.49928566185550627,-0.017827285063373655,1.7964252,0.011012129,0.6997012884852221,-0.02738392025486718
1.9100000000000001,-0.016999511,-0.008900908,0.49928566185550627,-0.017827285063373655,-0.028933214,0.6305814725986215,-0.04588338744631323,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.028146923,0.49989864294056563,-0.0563052590476723,-0.011956758,0.7467177312557679,-0.01601241990830762,1.7964252,0.0110121295,0.6997012884852221,-0.02738392025486718
2.0100000000000002,-0.016999511,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.028146923,0.49989864294056563,-0.0563052590476723,-0.011956758,0.7467177312557679,-0.01601241990830762,-0.008900908,0.49928566185550627,-0.017827285063373655,-0.028933214,0.6305814725986215,-0.04588338744631323,1.7964255,0.0110121295,0.6997012884852221,-0.02738392025486717
2.11,-0.016999511,-0.028933214,0.6305814725986215,-0.04588338744631323,-0.011956758,0.7467177312557679,-0.01601241990830762,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.008900908,0.49928566185550627,-0.017827285063373655,-0.028146923,0.49989864294056563,-0.0563052590476723,1.7964255,0.0110121295,0.6997012884852221,-0.02738392025486717
2.21,-0.017560888,-0.010624183,0.8476615397873617,-0.012533520565915822,-0.02858758,0.6305814725986215,-0.045335267478385705,0.0004345558,0.8094988334417925,0.0005368208005438222,-0.028153276,0.49989864294056563,-0.05631796858928388,-0.011969437,0.8252733325648852,-0.014503603132524462,1.7962612,0.011145821,0.7225827642666454,-0.02563070779311321
2.31,-0.016999511,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.028146923,0.49989864294056563,-0.0563052590476723,-0.011956758,0.7467177312557679,-0.01601241990830762,-0.008900908,0.49928566185550627,-0.017827285063373655,-0.028933214,0.6305814725986215,-0.04588338744631323,1.7964255,0.0110121295,0.6997012884852221,-0.02738392025486717
2.41,-0.016999511,-0.0010000027,1.122022933775649,-0.0008912498086690678,-0.028146923,0.49989864294056563,-0.0563052590476723,-0.011956758,0.7467177312557679,-0.01601241990830762,-0.008900908,0.49928566185550627,-0.017827285063373655,-0.028933214,0.6305814725986215,-0.04588338744631323,1.7964255,0.0110121295,0.6997012884852221,-0.02738392025486717
