step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,silhouette_clsuter_8,std_year_cluster_8,silhouette_by_std_year_cluster_8,silhouette_clsuter_9,std_year_cluster_9,silhouette_by_std_year_cluster_9,silhouette_clsuter_10,std_year_cluster_10,silhouette_by_std_year_cluster_10,silhouette_clsuter_11,std_year_cluster_11,silhouette_by_std_year_cluster_11,silhouette_clsuter_12,std_year_cluster_12,silhouette_by_std_year_cluster_12,silhouette_clsuter_13,std_year_cluster_13,silhouette_by_std_year_cluster_13,silhouette_clsuter_14,std_year_cluster_14,silhouette_by_std_year_cluster_14,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.21407281,0.12343107,3.3462121869361487,0.03688680356880675,0.118279286,3.749270473821884,0.03154728007882594,0.111639835,3.638245176051116,0.030685077431094217,0.2630467,3.5846509205531047,0.07338140240519869,0.41168794,2.5704892367592644,0.16015937140361255,0.18972895,3.7212486781921883,0.0509852906648179,0.12338492,3.5526843757317157,0.03473005471177864,0.14720887,3.2316642979447496,0.04555203012604549,0.4261554,3.449612342825688,0.12353718215368444,0.27435446,3.3485035556671607,0.08193345274813717,0.1551249,3.719318934070233,0.04170787863988285,0.16895823,3.4144530412134433,0.04948324951826251,0.18809275,3.330978592147404,0.056467716044332504,0.4191183,3.699109817108873,0.11330247164889795,1.732189,0.112878054,3.454031544930212,0.0664542329388127
0.11,0.21238032,0.17341535,3.4865406246194874,0.04973851350224705,0.15632784,3.4028853490309974,0.045939791568526525,0.41608846,3.409950122613573,0.12202186158576493,0.25543013,3.423038765570011,0.0746208704148623,0.11306608,3.686134145956435,0.03067334848797907,0.24812274,3.523002381707917,0.0704293412062215,0.43203965,3.6859513188183404,0.11721252152428159,0.1120823,3.6176787198733944,0.030981828749642393,0.1287656,3.467252869730269,0.037137642617196376,0.17978002,3.6875771023155677,0.04875288470496305,0.41184175,2.5704892367592644,0.16021920817851257,0.1415296,3.2705187315093687,0.043274359944508844,0.18079072,3.733694996218565,0.04842139557549561,0.12840019,3.507333463914937,0.0366090629778252,1.7408215,0.11262859,3.4622891306170094,0.06543090221700192
0.21,0.21430533,0.17004961,3.699427508262446,0.045966465723131004,0.14215428,3.2532977628768087,0.04369543974520757,0.11070044,3.6615304918113063,0.030233380176569184,0.19856706,3.35654584357193,0.059158155994389595,0.17568387,3.7293654459624728,0.04710824762475317,0.18892226,3.2622867802749216,0.05791098973076395,0.4148535,2.482996423279795,0.1670777731901979,0.11418926,3.723530793116654,0.030666930408906192,0.12535492,3.486041668438915,0.03595909853637816,0.24278219,3.442638563586767,0.07052212596757146,0.25239378,3.512862053452414,0.07184847520293994,0.16055924,3.399648493086191,0.04722818765818086,0.42076367,3.445719990905643,0.1221119744229632,0.42861706,3.6762222048101103,0.11659171734060572,1.7322005,0.11039973,3.43800814453117,0.06757706869446842
0.31,0.19231834,0.093553975,3.4001956905735575,0.027514291452064604,0.4549546,3.587950633083055,0.12680068398342748,0.08961603,2.327139374658115,0.03850909465523581,0.17067271,3.049106779729928,0.05597465980688049,0.24563089,3.312738034821841,0.07414739334926214,0.4088857,2.314456595482372,0.17666595622823794,-0.10404055,1.9000214605563908,-0.05475756477766786,0.09644971,2.6701215861200414,0.03612184214010494,0.1503339,3.0998786820581294,0.048496703161145176,0.15570238,2.9095808581359646,0.053513681151269844,0.21186022,3.4918933904443694,0.06067201970838114,0.29509795,3.3183790566144102,0.08892834184583523,0.18998581,3.5916652806741003,0.052896302094915776,0.42749482,3.4297084071578934,0.12464465580818898,1.7394209,0.14716192,3.028773987865012,0.06500914718623439
0.41000000000000003,0.14864755,0.098540165,2.1424850867482776,0.045993395771932774,0.13441405,2.7647261596340407,0.04861749021124912,0.44138372,3.3403867050933687,0.1321355155590998,0.05300374,1.8475876831462101,0.028688077999823078,0.46060276,3.2874804082826485,0.14010813848638456,0.23264025,2.2635039152871217,0.10277881559917064,0.21386859,2.7473111539861597,0.07784651108733846,0.40939596,2.1909341149692403,0.18685909364249195,-0.08027691,1.9994725718205242,-0.04014904111299393,-0.16829255,1.7318025076449244,-0.09717768134058374,0.06572322,2.0374269681436514,0.032257950371423136,0.16364895,2.615834020206812,0.06256090669714923,0.3035047,2.9941779618025777,0.10136495201720039,0.20156653,3.2061350942826827,0.06286900780121871,1.743893,0.17859209,2.51209031078916,0.06319665234220743
0.51,0.11099405,0.17253508,2.6338928400858594,0.06550573133103607,0.08938985,1.9434024329842043,0.045996573670123296,0.41945592,2.194683606759632,0.19112363823083334,-0.040882982,1.9442617711410597,-0.02102750921736188,0.1313968,1.8265389168932957,0.07193758592513655,0.0004648771,1.4683343826850204,0.0003166016672917725,0.43384054,2.517582345193599,0.17232427128350025,-0.11987109,1.8254271123697883,-0.06566741918097466,0.15291715,2.192193926947575,0.06975530075282257,0.472043,3.097163030953933,0.15241141744702993,0.13379453,2.502842643327742,0.053457028783985776,-0.2073574,1.7812022111265446,-0.11641429890493177,0.13480033,2.003644485179327,0.06727756885092107,0.31270927,2.7951980334597617,0.11187374495994114,1.7426363,0.19779205,2.194740552793381,0.05706215968566809
0.61,0.08005383,-0.03329716,1.5580844442345472,-0.02137057391268157,0.050294667,1.5110411467997802,0.03328477691616453,0.011335985,1.399135850738854,0.008102133040011745,-0.036845192,1.3450673505491726,-0.027392823339404446,0.18574509,1.8092297836183195,0.10266528438124911,0.025268186,2.0326231217157247,0.012431318729874396,0.21107753,2.101875052376515,0.10042344142820515,0.43028635,1.8994700806831508,0.22652967911519006,0.45994136,2.456169381115263,0.18725962505295443,-0.2753216,1.1497977415416025,-0.23945220352599578,0.13434657,1.844628999899853,0.07283121676619007,0.32328522,2.2981870063308714,0.14066967621127707,0.015342216,1.3188398172461957,0.011633115566260961,0.4698046,2.795070592502798,0.16808327347527022,1.7414483,0.2109948,1.8228014549537603,0.055406995707469
0.71,0.053139057,0.0202858,1.413880815075753,0.014347602628928797,0.0038775406,1.1708913266568257,0.0033116144055186742,-0.22862446,1.117642458563754,-0.2045595720971067,0.13518625,1.808483105024037,0.07475118490331881,0.29830706,2.0369109486468737,0.1464507132202023,-0.03591033,1.2517133381482588,-0.028688941483934135,0.069299884,1.46928011112178,0.047165876415207,-0.21157707,1.4336727575977029,-0.14757696386316557,0.43906218,2.2765497561418546,0.19286298353479067,0.14818461,1.7832307432302663,0.08309895562082305,-0.040291943,1.1409097098578773,-0.03531562779061574,0.005662064,1.4464494187578751,0.003914457010796572,0.46748826,2.585975013851128,0.18077833566569215,0.4207932,1.7963375987065293,0.23425062516235554,1.7447568,0.21775922,1.623709078670037,0.04034223166662938
0.81,0.02689257,0.05467129,1.4688557952419752,0.037220325806663,-0.076402724,1.049528934313411,-0.0727971581261805,0.008883452,1.2850475187901027,0.0069129366136601875,-0.16832404,1.025468069969068,-0.16414361725706605,0.42304784,1.5916265638980973,0.26579591607163616,0.44835216,2.3777012229204892,0.18856538985958354,0.18880458,1.6940550419650182,0.11145126757059581,0.20276728,1.539868526189571,0.13167830842424666,0.34471926,1.7263469079645917,0.19968133828759138,-0.2809408,0.9838474759390867,-0.2855532059347598,0.05446556,1.2182403343318793,0.04470838540226066,-0.20369293,0.9867820138451076,-0.2064214032062346,0.23114914,1.6283484693616976,0.141953114686023,0.12131211,1.3828612222140193,0.08772544176335267,1.7415663,0.2194803,1.4256127212102938,0.034769788568669434
0.91,0.0034234182,0.005193466,1.0640322466302623,0.004880929005131237,-0.27636117,1.0567945652358974,-0.26150888405561434,0.28506455,1.5064732371540488,0.18922642714353308,0.09155188,1.329360392429558,0.06886911787021865,-0.02806297,0.9194665968544755,-0.030520923263755925,0.4355763,1.5613729045222529,0.27897005810118997,-0.07227285,1.0028201182011829,-0.0720696072520155,-0.19983439,0.8401204456116691,-0.23786397833614176,-0.016699389,1.1197079234565268,-0.0149140577407783,-0.019467426,0.8402379747773979,-0.023168943856791354,0.02996935,1.3848612609632311,0.021640687300814643,0.40491962,1.8747030011411945,0.21599134587298635,-0.08429677,1.2080521259825565,-0.0697790836842297,0.12976353,1.5188177974525556,0.08543719261276089,1.7427043,0.19958127,1.2304871850294865,0.011085019979807712
