step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,silhouette_clsuter_8,std_year_cluster_8,silhouette_by_std_year_cluster_8,silhouette_clsuter_9,std_year_cluster_9,silhouette_by_std_year_cluster_9,silhouette_clsuter_10,std_year_cluster_10,silhouette_by_std_year_cluster_10,silhouette_clsuter_11,std_year_cluster_11,silhouette_by_std_year_cluster_11,silhouette_clsuter_12,std_year_cluster_12,silhouette_by_std_year_cluster_12,silhouette_clsuter_13,std_year_cluster_13,silhouette_by_std_year_cluster_13,silhouette_clsuter_14,std_year_cluster_14,silhouette_by_std_year_cluster_14,silhouette_clsuter_15,std_year_cluster_15,silhouette_by_std_year_cluster_15,silhouette_clsuter_16,std_year_cluster_16,silhouette_by_std_year_cluster_16,silhouette_clsuter_17,std_year_cluster_17,silhouette_by_std_year_cluster_17,silhouette_clsuter_18,std_year_cluster_18,silhouette_by_std_year_cluster_18,silhouette_clsuter_19,std_year_cluster_19,silhouette_by_std_year_cluster_19,silhouette_clsuter_20,std_year_cluster_20,silhouette_by_std_year_cluster_20,silhouette_clsuter_21,std_year_cluster_21,silhouette_by_std_year_cluster_21,silhouette_clsuter_22,std_year_cluster_22,silhouette_by_std_year_cluster_22,silhouette_clsuter_23,std_year_cluster_23,silhouette_by_std_year_cluster_23,silhouette_clsuter_24,std_year_cluster_24,silhouette_by_std_year_cluster_24,silhouette_clsuter_25,std_year_cluster_25,silhouette_by_std_year_cluster_25,silhouette_clsuter_26,std_year_cluster_26,silhouette_by_std_year_cluster_26,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.21687876,0.20393004,3.88607345505778,0.0524771437266786,0.13256887,3.4817516538165285,0.03807533655341701,0.054589003,3.8150656158902203,0.014308798018345665,0.42455345,3.4490330192133043,0.12309347331766306,0.45086706,3.5671107310799113,0.12639558758808775,0.30333337,3.6415842755443246,0.0832970896526429,0.11490055,3.5843439232186634,0.032056229591153916,0.40013048,2.433954758360948,0.16439520050788867,0.3204126,3.5659445461114796,0.08985350216685155,0.11290686,3.6782137238538906,0.030696111428431386,0.20958567,3.464925322583741,0.06048778751174047,0.26162326,3.5655885579863895,0.0733744959925543,0.07400433,3.5144519293112686,0.021057146670235963,0.15532415,3.246156724709444,0.04784862818521043,0.12022393,3.633176950089659,0.033090579847823064,0.3357804,3.4548576912322555,0.09719080841183086,0.06468795,3.604603015771358,0.01794592972269683,0.08389806,3.5885036562007344,0.023379678011143577,0.22844175,3.5535702882792126,0.0642851348111147,0.24240188,2.938172415440786,0.08250090489319724,0.08868073,2.8698274567282267,0.03090106656484591,0.20097128,3.253532459518497,0.06177017689805098,0.12919359,3.6026482775579742,0.03586072775854594,0.29614374,3.291020346083184,0.08998538728817929,0.123789534,3.654653046308075,0.03387176084958111,0.090084165,3.7773866809927004,0.02384827737864193,1.7504724,0.11512492,3.4660057892669442,0.05969411397486742
0.11,0.21747464,0.20506655,3.251342496161201,0.06307134577174524,0.27117753,3.587243821655507,0.07559495361080538,0.16316313,3.5212207974432217,0.04633709014596807,0.21791755,3.789393777584235,0.0575072318741257,0.4205938,3.569421729688858,0.117832475401335,0.13632287,2.9539463180689305,0.04614940698708457,0.19924746,3.2039516417151153,0.062188037404634765,0.11613661,3.6435671880786544,0.03187442539496764,0.3904011,2.438501393526511,0.1600987787779408,0.28712675,3.5340032057470996,0.0812468843511568,0.0680762,3.7248912673817265,0.018276023619638256,0.30722123,3.540988089512291,0.08676144230890973,0.1902863,3.4184012451121832,0.055665289116634084,0.43648282,3.4526879621064555,0.1264182636036102,0.088368274,3.3323013525396807,0.02651869231578926,0.074303344,3.693406535686153,0.020117835167661434,0.35939106,3.4136785122384374,0.10527970403871012,0.122625306,3.4928061958762067,0.03510796172814937,0.094706334,3.6702380737857543,0.025803866743715688,0.17191958,3.2031340944785445,0.053672303189130056,0.21827824,3.6028630590437687,0.06058466296404197,0.3229621,3.2341204050421326,0.09986087863973421,0.11878534,3.647349038254868,0.03256758137699095,0.1425828,3.544032131868259,0.04023180339774499,0.0919267,3.5525515953143088,0.025876246663989202,0.07250744,3.8362868935826526,0.01890042195883325,1.7593532,0.110904805,3.4558588008266447,0.06052090794434795
0.21,0.21150208,0.07827822,3.613087119176919,0.021665190627290477,0.076197684,3.5956876431451206,0.021191407979069675,0.41025937,3.4552981867092893,0.1187334186130485,0.07709819,3.741194968507729,0.020607905076705194,0.104417965,3.5060460039733288,0.02978225747687245,0.39637205,2.4367550548165973,0.16266388747750182,0.30635354,3.158859772406556,0.09698231681713619,0.2542208,3.477092389296962,0.07311304534079503,0.37858915,3.437766573183245,0.11012648626088517,0.11330709,3.451581618093201,0.032827584901818356,0.44129908,3.590923658491016,0.12289291636852488,0.27363753,3.721197188998378,0.073534811322783,0.20194916,3.6293923580799157,0.055642692866139536,0.21282557,3.240898645767906,0.06566868939519097,0.17345746,3.024887159857889,0.05734344768862459,0.11797307,3.5654328316617483,0.033088007104992614,0.13330328,3.5771176184487583,0.037265558157097575,0.187436,3.308267898514295,0.05665683834034353,0.27626577,3.4337692444162284,0.08045554332055366,0.11590956,3.6287868583038856,0.031941683554550564,0.25595504,3.705103005285164,0.06908176104409407,0.07173735,3.875374166548041,0.018511076853581648,0.1612684,3.2571033145986714,0.04951282860536886,0.07649263,3.4623467245100543,0.022092712264714737,0.11086779,3.4882810760058094,0.03178292931737202,0.096039005,3.0699005108078636,0.0312840772154589,1.7552133,0.11338743,3.440467368830945,0.05863265669194284
0.31,0.15976182,-0.086012,1.9699987224808322,-0.0436609411843035,0.03424521,2.221010702367595,0.015418751289471181,0.43623778,3.4197853191411127,0.12756291449004645,0.09876499,2.0276795033285713,0.048708384677282925,0.45408458,3.5208908877926874,0.12896865868539117,0.085768215,2.8877475872291307,0.029700731371938963,0.31671172,3.2800235888676847,0.09655775796228579,0.21929471,3.0588141525759815,0.07169272175714303,0.040196124,1.9721759816035576,0.02038161139737153,0.091865726,2.925628564687047,0.031400338007406284,0.34730706,3.3289265836879895,0.10433004377159176,0.18957831,3.5674580966660483,0.05314100530917491,-0.08237077,1.9988028385853915,-0.041210054022185555,0.39390752,2.311986066147558,0.170376250515693,0.10523021,2.4503160978926446,0.04294556620760499,-0.006536927,1.678138806282754,-0.003895343489895156,0.19008039,3.4802151327674147,0.05461742510995461,0.09735582,2.7479775417129866,0.035428171722940015,0.039740425,2.045403009039479,0.019429141556746757,0.2005402,2.8706383698620868,0.06985909544763247,0.21464373,2.812287669801271,0.0763235333348607,0.32015553,2.803756878115317,0.11418805020754592,-0.046524297,1.9052040020118572,-0.024419588346908664,0.20140809,2.9388072021150276,0.06853395760779872,-0.0057791723,1.9582581766726241,-0.0029511799632372907,0.04258671,2.4608158989756945,0.01730593106203044,1.7661074,0.1529281,2.640105668477321,0.04925895901866851
0.41000000000000003,0.07742938,-0.105661884,1.992868143530826,-0.05302000751691933,0.12682831,1.8711786749951902,0.06777990502385688,0.01889613,2.1379874752240426,0.008838279486632879,0.10135015,2.2816701160594004,0.04441928317729194,0.1266199,2.3434080588780346,0.054032375946511696,-0.026935458,2.159085293719439,-0.012475402552016401,0.14088233,2.277885286208906,0.06184785906718227,0.06287888,1.5681238766640695,0.04009815669555356,0.059081603,2.1653947439874157,0.027284449177530208,-0.057079874,1.4889181252012509,-0.0383364760042641,0.32239938,2.6818134261594917,0.12021693033454982,0.082934774,1.9184718194659645,0.04322960265399911,0.41848743,2.196867718929127,0.19049277569740478,0.05508197,1.959658116437089,0.028107949303856253,0.22671579,2.5760138018725782,0.08801031581445523,0.090502255,2.164852030706038,0.041805284324851436,0.07499689,2.067135347793437,0.036280589327446856,-0.015088812,1.5023118376149531,-0.010043728652261117,-0.04745024,1.9943101845402802,-0.02379280869609309,0.018611157,1.730897391202933,0.010752316923913622,0.21020517,2.518611917498468,0.0834607213884491,0.21529202,2.229026970815532,0.09658565125096975,-0.1368225,1.8442693801390628,-0.07418791867328837,0.3136628,3.1591010483353883,0.0992886243312406,-0.097317964,1.626617833236247,-0.059828413195838225,0.007789412,1.8359423763026486,0.004242732314617013,1.7458816,0.13522768,2.088170038289147,0.03365727103652432
0.51,0.0490727,0.03232192,1.7339552821359245,0.018640572273556488,0.0652316,1.5335506710793223,0.04253631793448285,-0.005894406,1.9576585686931158,-0.0030109467818264886,-0.111499906,1.893039984932637,-0.05889992101260891,0.030582225,1.876459707269462,0.01629783193943248,0.011397566,1.6929870955360744,0.006732222439891642,-0.071321025,1.8837169820244617,-0.03786185832125956,-0.0053190556,1.7107391712259066,-0.0031092148499005058,0.20277907,1.938888570518917,0.10458521063364347,-0.06477325,1.3901842327624172,-0.04659328247250895,0.08298891,1.444514528214314,0.057451073530991194,0.09750979,2.1494954190000195,0.04536403549628816,0.071541056,2.1724947317484014,0.03293037032102428,0.029683428,1.8819771875425928,0.015772469550459394,-0.0100956205,1.9286682206097892,-0.00523450348794131,-0.015614251,1.7811602171510152,-0.008766336977713857,0.07912471,2.2706085671700706,0.03484735880853749,0.23646845,2.0465495478739606,0.11554494220802793,0.21373034,2.235338743727249,0.09561429373304621,0.41890597,2.1375180635926556,0.19597774660690712,0.10598894,1.681930108205715,0.06301625826757198,0.2301668,1.9396311987451524,0.11866523544191011,-0.13627954,1.6037365885484909,-0.08497626059473717,0.05553036,1.5016178118026098,0.03698035638277829,-0.025243817,1.9991285555395044,-0.012627410492098404,-0.06507406,1.329007161647473,-0.04896441363512299,1.743973,0.12167092,1.8351752660498946,0.026573544113185802
0.61,0.023753783,0.03160132,1.2482366756346759,0.025316770103801914,0.018164184,1.2472804277182197,0.014563031328643044,0.018225355,1.2370433789939568,0.014732995934735656,0.03804896,1.8297385329079536,0.020794752684159354,0.0042789634,1.311253444233536,0.0032632619197558244,0.41900867,1.9684081069937152,0.21286676820150593,0.021110443,1.4536367521689302,0.014522502521251023,-0.015103028,1.9276358470099288,-0.007835000671569007,-0.016899716,1.9909813817574524,-0.008488133673113461,0.010995293,1.6197070586009,0.00678844546470086,-0.04595604,1.634740423429951,-0.028112133893075132,-0.055852074,1.3746075152623953,-0.04063128824478427,-0.015260257,1.1376616060346865,-0.013413704695605523,-0.121317975,1.2399592151947159,-0.09784029485519277,-0.044806447,1.4721075648698634,-0.03043693813506292,-0.012229197,1.2778948846881109,-0.009569798638219423,0.03130078,1.6950375743307005,0.01846612718565705,0.054658204,1.3654073358586571,0.040030694783634115,-0.14720477,1.504543982073259,-0.09784012524184814,0.112066805,2.169417246897363,0.05165756173598051,-0.122541144,1.3155870289605438,-0.09314560100753104,0.082590215,2.100307197192983,0.03932292143668465,0.1670446,1.4311088576199493,0.11672389140384998,-0.03678931,1.1531698064825193,-0.03190276837514886,-0.012711296,1.7996247157218628,-0.007063303669357983,0.24884075,1.864302619436313,0.13347658618803124,1.7485131,0.11420587,1.5526691992335826,0.009471046915072409
0.71,0.012000043,-0.029723473,1.1660665638939092,-0.025490374060620404,-0.22209233,0.9394457056741411,-0.23640784040457963,-0.0022588302,1.5741445188032002,-0.0014349573442284864,0.018820466,1.2193797496161511,0.015434458772685962,-0.053924344,1.2833778958394957,-0.04201751070736977,-0.049900703,1.124858267715973,-0.04436176944627525,-0.063765444,0.868141874774551,-0.0734504874310364,-0.030868808,1.1721046644531719,-0.02633622128102879,0.025096538,1.4033451810822488,0.01788336745915151,0.11749116,2.016191150130475,0.058273821559917845,0.2029132,1.8878299034587367,0.10748489285132559,0.12053029,1.5155236847847888,0.07953045775651661,0.060029436,1.7889193805720767,0.03355625555559535,-0.010709373,1.7586224118296303,-0.006089637666600764,-0.047700733,1.0061568817791462,-0.0474088423090131,-0.12907907,1.5031800201607193,-0.08587066880633842,0.043317366,1.242309676905615,0.03486841260008266,0.07667784,1.4890202364105882,0.051495496570681296,0.048594423,1.311116119958294,0.03706340109674043,-0.018660381,1.132041455576101,-0.016483832234616896,-0.13475078,1.1383629596484375,-0.11837242445508438,-0.08094355,1.3515511318579743,-0.05988937102066037,0.4221295,1.836369134421636,0.2298718182094367,-0.0045442805,1.2607703708214801,-0.003604368070972873,0.02950402,1.5447967977227486,0.019098964867443485,0.016830217,1.2141039670911937,0.01386225360382596,1.7520478,0.118449345,1.3749126809608647,-0.003415180935962388
0.81,0.0054401685,-0.03720884,0.9465311476532241,-0.03931074042647453,-0.04241374,1.2826826006379126,-0.03306643539803257,0.010209713,1.102754044197735,0.009258377409639897,-0.04596615,1.1104061784836787,-0.04139579666175324,0.11398772,1.425613740997481,0.07995694641875813,0.43163028,1.6906201097379412,0.25530885448951474,-0.07188503,1.3022762257806364,-0.0551995233947211,0.083304964,1.4006329093137082,0.05947665762527703,-0.048824124,0.892024255070146,-0.0547340767481486,0.1793022,1.4019707214245767,0.12789297089800658,0.0056804605,1.4222952410925331,0.003993868726209289,-0.112281546,1.0546194679704248,-0.10646640746424635,-0.025192684,0.8176429117006364,-0.03081135199990601,0.08764743,1.3046378842262385,0.06718142379463264,-0.024945196,1.3746448404951732,-0.01814664779545346,0.049260046,1.7307237922161274,0.02846210733025107,-0.06603933,1.671418813143793,-0.03951094168500417,-0.06119338,1.1306695757133765,-0.05412136473756063,0.08364082,1.816090515707869,0.04605542540675294,0.014735727,1.2401143861871786,0.011882554386724331,-0.0001271544,1.5067844257077903,-8.438791924405307e-05,-0.2716802,0.7564766839378239,-0.3591389025319112,-0.05909737,1.7466666061546738,-0.033834372319204616,-0.020557716,1.0896962955470326,-0.018865546825152898,0.011508296,0.9357995921060923,0.012297821393516607,-0.0044358056,1.13791013564926,-0.0038982037903466434,1.7521788,0.118857816,1.2804501192635793,-0.007185295839149107
0.91,-0.0037432588,0.01607646,1.0875653608778921,0.014782063735197437,-0.08351903,0.9598020056109996,-0.08701693281408598,-0.00072224345,0.9805202277876006,-0.0007365920968419625,0.022889266,1.1064359773761248,0.020687383869117143,0.025011573,1.1076469076365252,0.022580817780830893,-0.006395451,1.0346718636384125,-0.0061811391784803715,-0.14336385,1.0404791657364043,-0.13778637098141597,0.43433544,1.4719310217481785,0.29507866467914534,0.004815166,0.9196983754625493,0.005235592465161293,-0.102041475,0.858948244487544,-0.11879816523254352,0.0025958812,0.9291424999019078,0.0027938461896489172,-0.06015641,1.1809944588287227,-0.05093707954991437,0.048689544,1.6286086138976146,0.02989640591693332,0.177802,1.3169772457198887,0.13500764500476028,-0.2401674,0.7967276824612034,-0.3014422613489755,-0.06687832,1.3515511318579743,-0.04948264050852713,0.071445465,1.3929970422212636,0.05128902856388279,0.09927348,1.7241369794768844,0.057578650453323714,0.08214696,1.2714083458451053,0.06461099440248454,-0.012220797,1.3219483962794023,-0.009244534176500825,-0.035477996,1.0463175943739913,-0.03390748283624528,-0.11267785,1.0016874484675042,-0.1124880320718647,-0.017441181,1.467244594780181,-0.01188703064780851,-0.00782361,1.037555002474005,-0.007540428920237992,-0.09667127,1.2356950063669963,-0.07823230477247273,-0.05911121,0.7783514872146257,-0.07594411062339025,1.7551824,0.120368704,1.155732410789596,-0.014695538949954592
