step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,silhouette_clsuter_8,std_year_cluster_8,silhouette_by_std_year_cluster_8,silhouette_clsuter_9,std_year_cluster_9,silhouette_by_std_year_cluster_9,silhouette_clsuter_10,std_year_cluster_10,silhouette_by_std_year_cluster_10,silhouette_clsuter_11,std_year_cluster_11,silhouette_by_std_year_cluster_11,silhouette_clsuter_12,std_year_cluster_12,silhouette_by_std_year_cluster_12,silhouette_clsuter_13,std_year_cluster_13,silhouette_by_std_year_cluster_13,silhouette_clsuter_14,std_year_cluster_14,silhouette_by_std_year_cluster_14,silhouette_clsuter_15,std_year_cluster_15,silhouette_by_std_year_cluster_15,silhouette_clsuter_16,std_year_cluster_16,silhouette_by_std_year_cluster_16,silhouette_clsuter_17,std_year_cluster_17,silhouette_by_std_year_cluster_17,silhouette_clsuter_18,std_year_cluster_18,silhouette_by_std_year_cluster_18,silhouette_clsuter_19,std_year_cluster_19,silhouette_by_std_year_cluster_19,silhouette_clsuter_20,std_year_cluster_20,silhouette_by_std_year_cluster_20,silhouette_clsuter_21,std_year_cluster_21,silhouette_by_std_year_cluster_21,silhouette_clsuter_22,std_year_cluster_22,silhouette_by_std_year_cluster_22,silhouette_clsuter_23,std_year_cluster_23,silhouette_by_std_year_cluster_23,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.21146858,0.087311305,3.5911743469236757,0.024312744709952632,0.1425004,3.5667807306061596,0.03995210563980913,0.43633023,3.5756415381675564,0.12202851555068658,0.40720996,2.4416009426055103,0.16677990063842427,0.049001686,3.8699339644093267,0.012662150498085964,0.3009993,3.6569411590085985,0.08230903930499994,0.4062899,3.434520731466517,0.11829595366460172,0.109267294,3.6597139209308813,0.029856785739989684,0.31629857,3.5281877289078842,0.0896490205488925,0.16239311,3.6492890074791124,0.04449993072005864,0.08576134,3.6986494725231838,0.023187203629183264,0.15793376,3.2757647661454237,0.04821278937404858,0.19706894,3.5803603490330693,0.05504165094070039,0.13233401,3.507585352754614,0.037727951141368066,0.18411414,3.319134137856986,0.05547053406261154,0.055563025,3.8061630411239595,0.0145981726416316,0.19488849,3.215140844734083,0.06061584760040204,0.11943856,3.4880568238813976,0.03424214823541848,0.3390234,3.2530271273502165,0.10421782481417884,0.28735897,3.6255140474615493,0.0792602002607589,0.20800324,3.27481481472764,0.0635160305578417,0.089483395,3.6467883706846425,0.02453758927668449,0.104980335,3.036974528328199,0.03456740702311359,1.7543484,0.115870096,3.4652938150917474,0.05937136941623664
0.11,0.21378708,0.25516784,3.556740918421503,0.07174203793976665,0.11218733,3.744624246009425,0.02995957031591989,0.1244028,3.6927604297918832,0.03368829391384717,0.20780833,3.3750785999077944,0.061571404784698996,0.40868595,2.4765476318398174,0.16502244785067666,0.06272377,3.614974507835086,0.017351096280679344,0.061772533,3.660918855943968,0.01687350503844175,0.43417647,3.435144717920322,0.12639248429466526,0.332575,3.474520419364994,0.09571824402538558,0.39444962,3.431807105441412,0.11493933351135843,0.4189029,3.5961828018175623,0.116485431047477,0.29248154,3.6711491154408384,0.07967029734734277,0.09927216,3.653256493580795,0.027173608504252628,0.12323788,3.5554199192878944,0.034661975485828334,0.22536345,3.6317614707700394,0.06205348288317818,0.20782503,3.2762311929760237,0.06343417866918441,0.09824978,3.4920213685211725,0.028135503132135673,0.3073667,3.2467670995375473,0.09466853936770246,0.14971676,3.318243184034018,0.04511928643713201,0.07781883,3.8640712952795035,0.02013907802027283,0.09994571,3.0745347040776467,0.032507588539089145,0.09420894,3.544035010247159,0.026582395656706347,0.20153655,3.295590823715054,0.0611533900591181,1.7448236,0.12166356,3.4644513874678897,0.06195839883064607
0.21,0.18313527,0.088858105,3.3802219480863473,0.02628765406737797,-0.015257801,2.1365175894366746,-0.007141434736922191,0.19825915,3.362584003659592,0.05896035453855361,0.13552408,3.532701821312478,0.03836272803608866,0.12940873,3.631843532451818,0.035631692527584004,0.08541727,3.1363744055803586,0.027234398580865436,0.38785288,2.467312689879992,0.15719648302758438,0.3179191,3.521778577085256,0.09027231506260319,0.43481055,3.450593927435247,0.1260103501497647,0.30024526,3.6645779493328368,0.08193174204044948,0.2683383,3.6003873110117306,0.07453039622054947,0.20104073,2.9936744841677565,0.06715517366485568,0.037381317,1.8192705131054838,0.020547421176352568,0.29842895,3.1691752770103547,0.09416612418340664,0.2181075,3.2233947070596245,0.0676639153607602,0.07304154,3.8948372538167155,0.018753426293473072,0.0760245,3.6027369694920135,0.021101874258256582,0.09540828,3.4462455468606694,0.027684702635582474,0.17970613,3.667939464004122,0.048993754726615726,0.15563416,3.2718149414728996,0.04756814416285952,0.082583256,3.5681701208706995,0.02314442789114933,0.273956,3.445232485133606,0.07951742066378348,0.11776229,3.6808808352892424,0.03199296451335871,1.7405432,0.113849066,3.289924624067631,0.05467678387151968
0.31,0.13948233,0.33755627,3.3089105289942315,0.1020143245903162,0.085339285,2.398648267986266,0.035578073939509756,0.045858238,1.8965120017365649,0.024180304606772132,0.20110986,3.2940023620993997,0.06105334309442809,-0.0862811,1.928064588290068,-0.044750107931761755,0.16444956,3.288367738254016,0.05000947909473347,0.31163248,3.2410378633845944,0.09615206527460338,0.42592424,3.3990385560445753,0.12530726984116933,0.405334,2.357185716651463,0.1719567503552055,-0.04567496,1.9841706344404868,-0.023019673947127728,0.18575428,3.167862827309812,0.05863709838105647,-0.056258015,2.0670533149716057,-0.02721652844033148,0.10725327,2.905931104953229,0.03690840026395528,0.03897946,1.7121001671188871,0.022767043834562208,0.040164948,1.7443159407742725,0.023026188416266538,0.1291852,3.2558687702440046,0.03967764331234619,0.12048404,2.615023028612681,0.0460737966240207,0.19965409,2.9647401154865665,0.06734286299880672,0.1806848,3.1909873080286606,0.05662347965526881,-0.033286475,2.128601834325933,-0.015637717730182573,0.09637466,2.2890172563788154,0.042103073037913635,0.15409788,2.703427585503109,0.057000929383037156,0.28885567,2.7965015640022495,0.10329179700841284,1.7639691,0.13895541,2.6364073511126733,0.048220865028825256
0.41000000000000003,0.09603698,0.07942428,1.9474658335885449,0.0407833994199642,0.0060557304,1.3311220521665328,0.0045493427031448805,0.01158714,1.6540871201838439,0.00700515710991109,-0.05515762,1.9490421832527807,-0.0282998597638055,0.11728727,2.1391881097034657,0.05482793691342636,-0.014128404,2.116246243482299,-0.006676162465334217,0.44833842,3.3773725442641354,0.13274769464221906,0.074486725,1.8115121213892051,0.041118535257278585,-0.09477388,1.8796991591404526,-0.05041970715181316,0.051286254,1.886597768785181,0.027184519629308197,-0.048713256,1.9912728463223925,-0.02446337565623597,0.20825948,2.3570574708955525,0.08835570654638121,0.19541958,2.9442484497410537,0.0663733319657606,-0.0769726,1.7159429540372257,-0.04485731659448986,0.040878125,1.7079942261063175,0.023933409089018334,0.02306584,1.7201884157277096,0.013408903707609676,0.3705167,3.205957090777266,0.11557131837400152,-0.018625611,2.1091257613133623,-0.00883096294255541,0.1990267,2.6211781245303514,0.07593024753714295,0.12894645,2.312972924614553,0.05574922730856841,0.41560125,2.1857549330869586,0.1901408283327375,0.040799636,1.7796438917888595,0.022925730581287565,0.12879933,2.445485515860608,0.0526682056929327,1.7508372,0.14774649,2.1386589452503766,0.03694461348854168
0.51,0.060053755,0.12921876,1.7227505625427821,0.07500723550008906,0.2003106,1.934411115901423,0.10355120539659086,-0.039758112,1.887863743162483,-0.021059842070466118,0.033008453,1.7046920543018906,0.019363293459117442,-0.028264219,2.058353645001547,-0.013731468841599212,0.01665482,1.3126877406803508,0.012687571258549891,0.40994453,2.138416360706626,0.1917047315174367,0.123913005,2.158638974498103,0.0574033020149666,0.13778283,1.9863814077207769,0.06936373170034192,0.0010685646,1.7200757873668575,0.0006212311139807636,0.23240347,2.0490366439495755,0.11342084718307496,-0.022746323,1.9325180565213778,-0.011770302792142527,-0.086425915,1.3650009987012657,-0.06331564258391088,0.011827046,1.6913805531526576,0.006992539928152983,-0.120865285,1.8767589686316277,-0.06440106983194574,-9.608245e-05,1.2676971247107884,-7.579290462873662e-05,0.32305774,2.7977439899642405,0.11547080150491959,0.007082405,1.4252000192394962,0.004969411267782562,0.22518258,2.1971335774580973,0.10248925248694321,0.074951276,1.5565523723023755,0.0481521068721023,0.05787234,2.291987039147511,0.025249854861590964,-0.1765418,1.2469061712895644,-0.1415838732153779,0.011761017,1.6470479239856155,0.0071406648054699005,1.7513187,0.13744174,1.8247493404755233,0.027723903853523413
0.61,0.028528895,0.09877785,1.7655865649600269,0.05594619652914988,-0.12580742,1.6156206583751562,-0.07786940502841444,0.028089538,1.3914021704740869,0.020187936178811657,-0.032878682,1.136113355402748,-0.02893961404552892,-0.17838001,1.144082615431575,-0.15591532473808098,0.42856842,1.989166783008695,0.2154512263401639,0.09403107,2.130421711806204,0.044137305131620154,0.014863483,1.4480829721438921,0.010264247948749096,0.1740682,1.988656254954103,0.0875305609877819,0.028049523,1.6871332316521919,0.016625553029609493,-0.011633738,2.0031531832637848,-0.005807712580977657,-0.053141482,1.343085177375525,-0.0395667252305162,0.024314215,1.3669337477273145,0.017787413213844982,-0.050541297,1.822463515452929,-0.02773240516078845,6.654305e-05,1.9691859210373224,3.379216161210714e-05,-0.0045770053,1.5434106802607415,-0.0029655135477429624,0.2156101,1.8989836895704075,0.11353973338644852,0.005696459,1.2187934440067307,0.004673851205629183,0.038060132,1.3107130985023492,0.029037729505862826,-0.06557358,1.3703950825458502,-0.04785012833032729,0.0012961114,1.1836738794627193,0.0010949902714186427,0.10087313,1.5613239338150988,0.06460743052417399,-0.008333519,1.769074759392378,-0.0047106653107216265,1.7553462,0.11961937,1.5938024535052966,0.012589585758338167
0.71,0.01971772,-0.09921809,1.6647047275914606,-0.059601015852428524,-0.017610583,1.1293862188287973,-0.015593056795604545,-0.17441115,1.2049850616188111,-0.1447413361279032,0.4359403,1.878917182573626,0.23201676981883554,-0.0254275,1.3272812314846931,-0.019157582570180846,0.012058809,1.393571498880251,0.008653168789182453,-0.022241782,1.4221018786663342,-0.01564007665744062,-0.025105096,1.862195884964621,-0.013481447683609852,-0.004163198,1.147928811516657,-0.003626704139907113,0.013403867,1.1934545135006371,0.011231150596652525,0.09864489,1.9557638809131153,0.05043803643878108,0.05067054,1.7231769426005572,0.02940530398836473,-0.081549376,1.3452088227704664,-0.06062209440565657,-0.039845437,1.122628879492296,-0.03549297326955197,-0.055491436,0.9388171020067796,-0.059107824254844954,0.1232091,1.5149010561837486,0.08133144801002257,0.039545957,1.2826803339068251,0.030830719044871658,-0.12683748,1.1675266795777344,-0.1086377547567894,0.08783468,1.7754127696817716,0.04947282124485415,0.044460624,1.3011812718956424,0.03416943159013703,0.15246305,1.8307868992990275,0.08327733214329482,-0.06721292,1.3741848492833852,-0.04891111770421481,0.12667854,1.5059639911300433,0.08411790856142855,1.7516143,0.12051344,1.4375113255811862,0.0047970046090562045
0.81,0.011406475,-0.024137946,1.200589518739775,-0.02010507793792842,-0.019401742,1.2158680137475473,-0.015957112059901215,0.021765038,1.1008487974250796,0.01977114243299828,-0.21532945,1.0911430392730395,-0.19734301150156633,0.05361429,1.1569351437756437,0.046341654376171104,0.0069064475,1.123430460687265,0.00614764127210668,-0.003398076,1.2127835071968585,-0.002801881714644131,0.046083607,1.2268957252373704,0.037561143813309356,-0.01864558,1.1005857797644225,-0.016941506242233305,0.4276855,1.6427052283686414,0.2603543787439062,0.028338583,1.3611925682239148,0.02081893763440467,-0.25605944,0.9733547470748934,-0.26306897743057545,0.12136189,1.3696575610022337,0.08860746831952455,-0.081449285,0.8520664913886451,-0.09559029250972338,-0.10960741,1.3027274269784388,-0.08413687402388169,0.1733564,1.6701427029538018,0.10379735733568726,0.120597325,1.4106647369236958,0.08548971425230345,-0.11180466,1.592565675913796,-0.07020411049625719,0.3114596,1.9002384383147763,0.16390553661342785,-0.042662308,1.1462372075831102,-0.037219440564142746,-0.004131606,0.8182665734253022,-0.005049217434576253,0.10963564,1.7553671341090453,0.062457386566411296,-0.07635265,1.3568005313292604,-0.05627404078491944,1.750198,0.14752196,1.286133348236372,0.0013287312460826596
0.91,-0.0038600352,-0.16705152,1.1096759521276012,-0.15054081653619966,0.11678676,1.5753428221975387,0.0741341893500369,0.0072961897,1.0152389172857774,0.007186672557136208,0.05567699,0.9668060143729653,0.05758858388303025,-0.07635345,1.3772805485454696,-0.05543783594443678,-0.0143194925,1.0889441663236659,-0.013149886786522803,-0.1248898,1.2164916884257715,-0.10266391431248277,0.07551504,1.619677334320238,0.04662350806856767,-0.034512807,0.8395409118091355,-0.041109142149376325,0.0981787,1.3816375235873497,0.07105966502538352,-0.10087077,0.9821040178549278,-0.10270884892268162,0.0822433,1.39880573487894,0.05879537016731406,0.39838585,1.4480423185411453,0.27512031069413956,0.08694239,1.182630206749164,0.07351612457660654,-0.08172574,1.1696941966137817,-0.06986932069870562,-0.022010628,0.8579590932117785,-0.025654635877353095,-0.03846945,0.890803560640704,-0.04318510879994371,-0.25690943,0.9066865671502732,-0.2833497697384858,-0.055492125,1.7075059866399929,-0.03249893463668695,-7.177636e-05,1.1091627829275934,-6.471219783273237e-05,-0.007980844,1.020389685811217,-0.00782136875442593,0.33908966,1.7142613666806175,0.19780511211847174,-0.05270508,0.8354456109365416,-0.06308618852879011,1.7574192,0.14132692,1.191918565549226,-0.005622215106227713
