step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,silhouette_clsuter_8,std_year_cluster_8,silhouette_by_std_year_cluster_8,silhouette_clsuter_9,std_year_cluster_9,silhouette_by_std_year_cluster_9,silhouette_clsuter_10,std_year_cluster_10,silhouette_by_std_year_cluster_10,silhouette_clsuter_11,std_year_cluster_11,silhouette_by_std_year_cluster_11,silhouette_clsuter_12,std_year_cluster_12,silhouette_by_std_year_cluster_12,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.21133387,0.4165336,2.5739333977581227,0.16182764858092127,0.11846662,3.607798801050133,0.03283626101682224,0.17861396,3.6634500659583167,0.048755669526568825,0.24643518,3.519541344571721,0.07001911788492496,0.14207526,3.3579047596124614,0.04231068647985962,0.17221154,3.7002903180020894,0.04654000846575353,0.08485712,3.5061512099012786,0.024202356381643836,0.41445166,3.6884575393205425,0.11236449228641125,0.4267685,3.4616639416610964,0.12328421208008719,0.14132263,3.5377794451797677,0.03994670381619316,0.15197189,3.5939626091064936,0.04228532905081885,0.2620922,3.4804096902191577,0.07530498597288314,1.7350184,0.11902472,3.4742785935284313,0.06830645596190733
0.11,0.21138291,0.18061021,3.6742220552548277,0.04915604092167998,0.13073848,3.625796096644706,0.03605786933253612,0.25411332,3.4465973836516652,0.07372874990890783,0.23791334,3.493367398509572,0.06810429971712349,0.11178427,3.3893071071631535,0.03298145265728038,0.1103366,3.6480212418298392,0.030245602867930887,0.4244961,3.4089453487208226,0.12452417707819409,0.14708948,3.374379385735395,0.04359008414274788,0.43075937,2.5537953214267364,0.16867419511378157,0.14850964,3.6300922140003893,0.04091070633097793,0.17341089,3.452588007215736,0.05022634966122578,0.42847195,3.704283041549692,0.11566933408455776,1.725349,0.12091464,3.4501162168085444,0.06948907181807863
0.21,0.21221617,0.17573386,3.684690722315246,0.047692975489943584,0.42971978,3.6854103863674337,0.11660025095297569,0.15053378,3.363645609064117,0.04475316307102668,0.23551783,3.4787489820009827,0.06770187526469089,0.14593619,3.632227406485716,0.04017815371951014,0.2037335,3.273801584795419,0.062231475714568496,0.4278192,3.4372268457560846,0.12446638281606004,0.11155703,3.660059171119324,0.030479569857217028,0.42824128,2.4838548255302446,0.17240994856052944,0.1008098,3.440358507053441,0.029302119949980332,0.25645256,3.4317533886085414,0.07472930930179322,0.1412427,3.600028782451721,0.03923376905302915,1.7242045,0.12058082,3.430983850962356,0.07081491614594372
0.31,0.1880683,0.15030675,3.250924446498859,0.04623507830996053,0.27498847,3.322076911503601,0.08277607044842265,0.15220483,3.451895628289682,0.044093113716072295,0.17982535,3.577394695723239,0.050267126201418245,0.037253655,1.9839098864363776,0.018777896994190985,0.23627816,3.3300152677022608,0.07095407750774398,0.430322,2.370600398937314,0.18152447440595115,0.12656258,3.2501218616787066,0.038940872328060996,0.4434776,3.6114311016084306,0.12279830026811239,0.142518,3.062524485304788,0.04653611734320523,0.4343953,3.441215751382572,0.12623309453596832,-0.057697795,2.0741839165824834,-0.027817106704088008,1.7381592,0.15250048,3.060524529304026,0.06677659294625157
0.41000000000000003,0.14031295,-0.03632715,2.1150772794864046,-0.017175329748623198,0.1714962,3.0542211476264463,0.05615055010491547,0.44684562,3.358951353942156,0.13303128678721712,0.41250166,2.1905870003483576,0.18830645069289248,0.21551478,2.2495061111794716,0.09580537613115513,0.29874635,2.9782373177201906,0.10030978580849137,0.46148634,3.3141349616828344,0.13924790176159893,0.18573928,2.6013217231385872,0.07140188664139317,0.0053869756,1.5313186848831357,0.00351786708217175,0.070917025,2.0403340443359337,0.034757556197889415,0.1387643,2.7460918426307717,0.05053156079803523,-0.14053474,1.813631695351681,-0.07748802804165694,1.7434894,0.18555771,2.4994510968604975,0.06486640535129
0.51,0.11828221,0.18913479,2.246828846375433,0.08417854871256732,0.18758754,1.9945810243266322,0.09404859568707827,0.12965596,2.362599634147727,0.0548785140520672,0.33234987,2.808307252856159,0.11834526520936553,0.09284287,1.9955474808322797,0.04652501148299459,-0.02664746,1.8600985966882204,-0.014325831847327221,-0.21064834,1.5761956307682183,-0.13364352676473668,0.45217976,2.778118966032529,0.16276472147864632,0.41092226,2.180229595726952,0.1884765989314614,0.46547326,3.124658897056234,0.1489677048891069,0.15680519,2.5613838817798027,0.06121893269461927,-0.013724521,1.4356851454043447,-0.009559561751008092,1.7420229,0.19911426,2.243686245999545,0.0668229143979029
0.61,0.086382166,0.19861321,2.0695404676897162,0.09596971627922932,0.1079878,1.9023897379252892,0.05676428788360161,-0.2527412,1.3890078892348596,-0.18195806501151068,0.28174084,2.202488407084332,0.12791933130885155,0.41542462,1.8756716130495767,0.2214804618540385,0.19180673,1.8626076806928453,0.10297752747207525,-0.028566897,1.4242771111185486,-0.02005711998910165,0.4602374,2.4465372875745874,0.1881178823565179,0.09851063,1.8269880977289201,0.05391968921485967,-0.03629773,1.1195799692091624,-0.03242084719249893,0.064333364,1.8991289608651576,0.033875195256975944,0.4551144,2.8508820292448442,0.15963985522996152,1.7384566,0.20812158,1.9057582709514866,0.06718565955525
0.71,0.04117922,-0.033584736,1.33541995451045,-0.025149194584190283,0.031328052,1.5360527920733635,0.020395166392716737,-0.056040626,1.189956279441108,-0.0470946932987826,-0.062092397,1.4993586399453682,-0.04141263851606326,0.151562,1.5495419129675359,0.09781084591070607,0.13835146,1.7961076571745804,0.07702848700533156,0.34523153,1.8716397088063583,0.18445405460579223,0.36774835,1.7925521323039428,0.20515350336414043,0.2701958,1.931371207086071,0.1398984364039357,0.4548397,2.583002559946718,0.17608952986491846,-0.24623725,1.1264714876929878,-0.21859163846800095,0.019162526,1.4134274918739096,0.013557488066676969,1.742712,0.20160177,1.6354084853185331,0.04851161222893175
0.81,0.016744217,0.18489315,1.706240996412955,0.10836285527423567,0.21355948,1.621508440462253,0.1317042040561111,-0.25522706,1.1010212550491512,-0.23180938420167607,0.37994877,1.6141178068464201,0.23539097544668577,0.19832857,1.341316243965701,0.14786115535667235,0.44773984,2.377969058273312,0.18828665494871716,-0.19084388,0.9224590749932218,-0.20688601299515266,0.056356445,1.33737187021136,0.04213969667686033,0.0127675785,1.306408967197776,0.009773033403592993,-0.11937449,0.881101185816548,-0.13548329430941378,0.40593094,1.6490893458410498,0.2461546048795125,0.04620658,1.1222756991171727,0.041172216995053475,1.7422415,0.22197226,1.4150733286822434,0.04805555879426657
0.91,-0.0024924588,0.41484487,1.4499969142067164,0.2861005195961266,-0.077308804,1.005827247391106,-0.07686091622322835,0.15699261,1.555168590866163,0.10094893582040411,-0.094718,0.8657980850123692,-0.10939964343018956,0.073942885,1.2465144303631723,0.05931971824929056,0.30798247,1.5061761511313767,0.20447971794943268,-0.21388122,0.9781999763598379,-0.2186477505241391,0.21774441,1.500353845360348,0.14512870461280922,0.078402646,1.3623887837416442,0.057547923780332744,-0.047005333,1.258083239495702,-0.037362657359002655,-0.14602016,1.0991292949878972,-0.1328507572231854,0.007701272,0.9324042325228764,0.008259585141602972,1.7337745,0.18177912,1.2300033992866009,0.023888615032521154
