step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,silhouette_clsuter_8,std_year_cluster_8,silhouette_by_std_year_cluster_8,silhouette_clsuter_9,std_year_cluster_9,silhouette_by_std_year_cluster_9,silhouette_clsuter_10,std_year_cluster_10,silhouette_by_std_year_cluster_10,silhouette_clsuter_11,std_year_cluster_11,silhouette_by_std_year_cluster_11,silhouette_clsuter_12,std_year_cluster_12,silhouette_by_std_year_cluster_12,silhouette_clsuter_13,std_year_cluster_13,silhouette_by_std_year_cluster_13,silhouette_clsuter_14,std_year_cluster_14,silhouette_by_std_year_cluster_14,silhouette_clsuter_15,std_year_cluster_15,silhouette_by_std_year_cluster_15,silhouette_clsuter_16,std_year_cluster_16,silhouette_by_std_year_cluster_16,silhouette_clsuter_17,std_year_cluster_17,silhouette_by_std_year_cluster_17,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.21270587,0.24075162,3.4164107485166286,0.07046916832582054,0.056419767,3.583775484166065,0.015743108821587946,0.11488396,3.694230046997399,0.03109821473807269,0.118606545,3.49668000957665,0.033919759516522256,0.41164905,2.5744973293875133,0.15989492147825735,0.27199933,3.642740751395215,0.07466886827572286,0.16286582,3.6577290708706376,0.04452648470983611,0.09549164,3.159971449176588,0.03021914653521288,0.18106508,3.6884924245809927,0.049089183793190945,0.19290839,3.3387917979445825,0.05777790381395627,0.4197938,3.437609241609461,0.12211795608978407,0.17693825,3.3684824294883544,0.05252758604644757,0.1691457,3.450366610348608,0.049022530767721874,0.14095768,3.400199440859621,0.0414557104006751,0.3562513,3.4547216408979584,0.10312011687536671,0.4252036,3.6617437576841416,0.11612052063798095,0.15588135,3.7801359828954015,0.04123696765867842,1.7441101,0.11484426,3.4592104833174013,0.06429459696969614
0.11,0.21120027,0.25453612,3.3251461956164006,0.07654885142169793,0.18778418,3.318381853746503,0.05658908116108359,0.16352685,3.740390041617129,0.043719196698498636,0.19387364,3.377867659026131,0.05739527519885653,0.08968361,3.593628922707567,0.024956279334784216,0.4430402,3.702262467095055,0.11966741852174924,0.12634122,3.6296726374723405,0.03480788388804074,0.40402418,2.508716956335711,0.16104813368036525,0.112428546,3.6973076378149163,0.03040822051212589,0.063264266,3.499787439370032,0.018076602294412183,0.17890441,3.642977632082606,0.0491093913400356,0.14667451,3.5227705161385408,0.04163612507396868,0.26887017,3.6591376223680907,0.07347910973372762,0.13255343,3.256835211172125,0.04070007225320381,0.18297005,3.3736460823971077,0.05423510425464159,0.28608727,3.3946766267609756,0.08427526566038818,0.42896214,3.453699727098069,0.12420365844480531,1.7412058,0.11318044,3.4527591311070176,0.06416798055719912
0.21,0.21144813,0.26643085,3.665390915817133,0.07268825097144306,0.1799818,3.6877825796240047,0.04880488316421542,0.07346144,3.555605224263362,0.020660742279403576,0.19875827,3.3699664826519222,0.05897930301086532,0.18444026,3.272493267642826,0.05636077451671956,0.43629807,3.460018522705397,0.12609703372251363,0.13383986,3.2314872401465555,0.04141741885771453,0.43092895,3.6407524511399747,0.11836260534726865,0.11260171,3.6898251696535294,0.030516815070847962,0.10995854,3.546672739476623,0.03100329379111479,0.2058082,3.6935279121051736,0.05572130826957513,0.40146136,2.4794073762695796,0.16191827397189096,0.16600871,3.538616820041657,0.04691344649722537,0.16548999,3.3742248620184103,0.049045334352700316,0.2534636,3.3251461956164006,0.07622630139983654,0.2710521,3.3531722153762775,0.08083452769614169,0.11691289,3.6860728760703387,0.031717464746654024,1.7383384,0.1091664,3.445303697095245,0.06513339868624297
0.31,0.16896199,0.051880542,2.058318023097145,0.025205309192608796,0.16668274,2.778441765787485,0.05999144453482724,0.0519442,1.8099965924740506,0.028698507038900766,0.39893246,2.3385121452013964,0.17059242467002803,0.19710334,3.486314185536297,0.05653630911154313,0.4452304,3.56269161675726,0.1249702310768811,0.1750924,3.123908481686506,0.05604914489229966,0.20628347,3.366060886438695,0.06128334334619176,0.062335845,3.2653641498260972,0.0190900133102515,0.13689926,3.1871965944348988,0.042952876802685905,0.19624336,3.42345867726021,0.05732312819843113,0.42605692,3.4335892742353757,0.12408499894821129,0.33641717,3.30275705415796,0.1018594958279787,-0.087427616,1.8753451358878517,-0.04661948056723627,0.1768903,3.1977446297657806,0.055317206095075476,-0.039280493,2.0707708023768183,-0.018969020022548695,0.06319918,2.274798959407165,0.027782313299829737,1.7561014,0.15067883,2.8561922926077052,0.05565577916211525
0.41000000000000003,0.11893388,0.08304187,2.094926652513864,0.039639511485645665,-0.11403655,1.686870287991659,-0.06760244306856689,0.0058268635,2.0239400440510757,0.002878970391128692,0.21300675,3.2633380149779154,0.06527265909064132,0.30323675,3.061075088874965,0.09906217389131013,0.11337839,2.259114820730153,0.05018708638863183,-0.032555137,2.064762653278682,-0.015767011660114846,-0.0006607761,1.3836481415996142,-0.00047756079207090314,0.41444492,2.184135247035712,0.18975240840207114,-0.041123066,2.020671037495476,-0.02035119291285928,0.012650246,1.7631019444385547,0.007174993959094478,0.122779086,2.180189725362588,0.05631578059646434,0.44495437,3.3681083680222854,0.13210809061738688,0.08828466,2.0108410883381453,0.043904342773506556,0.006814058,1.95139923756647,0.003491883058872238,0.4936352,3.2252686073987817,0.15305243299185237,0.0001083586,1.7158020852528901,6.315332284555148e-05,1.7508404,0.17930189,2.250423120289931,0.04345325167857878
0.51,0.07846001,-0.032389473,1.4775570350799956,-0.0219209630498551,0.12813862,2.040785836250057,0.06278886025422128,-0.11625999,1.6134637434031602,-0.07205615409580354,-0.007878421,1.913773760625511,-0.004116693956500582,0.11449094,1.695221224501392,0.06753746325973028,0.1759032,2.072433218410359,0.08487762092432363,0.07845164,1.8903291003082063,0.04150157815967531,-0.11105374,1.8124526427104575,-0.06127263126846737,-0.016671581,1.3369170803324175,-0.012470168448786246,0.33639282,2.7785602342625815,0.12106731239199373,0.43584377,2.186569042143805,0.19932769436281167,0.46215427,3.077842356496424,0.15015527622555863,0.0806352,2.207041334248635,0.036535426957965356,-0.08944176,2.060962706841745,-0.043398049405530326,0.007084735,1.2397655731709227,0.005714576494823843,0.0018300505,1.6885866610536804,0.001083776468891426,0.20553327,2.2844805126991945,0.0899693671821521,1.7434945,0.17264117,1.96333776838462,0.0379602524974826
0.61,0.06092126,0.17127752,1.963995955138441,0.08720869439300766,-0.07742213,1.4501512772632534,-0.053389000403985136,0.42800063,1.93236749824446,0.2214902855368074,-0.016937798,1.3871089599337934,-0.012210863297950196,0.00058288965,1.3306040718640175,0.000438063933567973,0.08484143,1.954414990311254,0.04341014094131245,-0.040120378,1.1291147123195715,-0.03553259708591913,0.07502008,1.8106528239378248,0.041432615520288735,-0.016559491,1.164688748173918,-0.014217953903974317,0.122742526,1.6555274306043206,0.07414104047094605,0.31047383,2.2434043621583872,0.13839405625881898,-0.24386767,1.1670187655273558,-0.20896636175259056,0.47053933,2.7431323336652933,0.17153358795761645,-0.09841755,1.7018561771378296,-0.05782953439162624,0.079794005,1.6852602215868058,0.04734818014299569,-0.08421713,1.5027828667210015,-0.0560407847353261,0.2006653,1.8506965710736754,0.10842690166526794,1.7392697,0.18461993,1.6866339862153648,0.029155086544073977
0.71,0.032478098,-0.02868374,1.2560461298353562,-0.022836534394964414,0.21132882,1.6680236395126995,0.12669413933237167,-0.030302824,1.8086308088973166,-0.01675456610793576,0.33133638,2.160794652569279,0.15334005878681486,0.032501288,1.4148166391617607,0.02297208476259261,0.1935171,1.9002847697214702,0.1018358442243376,0.07995519,1.6244955422535858,0.04921847326785071,-0.05630516,1.7308983063646486,-0.03252944362837189,0.032756288,1.453523152468803,0.02253578661539307,-0.094093256,1.585349724931006,-0.059351734332798896,0.44105026,1.826167954925783,0.24151681123821037,-0.05764145,1.081591753029583,-0.05329316736583633,-0.23736356,1.0520080096657023,-0.22562904446260268,0.093021736,1.633309778035058,0.05695290434180969,0.00014045616,1.184679767175984,0.00011856044689675112,0.072855204,1.8467453315384954,0.03945059619189681,-0.05516757,1.2942265805368671,-0.042625898385812586,1.7424955,0.1598927,1.5600936788602,0.021271462972344207
0.81,0.019897806,-0.09964681,0.9045451099269678,-0.11016234085325423,0.10077821,1.4369602859905464,0.07013291053719993,0.16224974,1.3187712665878446,0.12303099714800954,0.41592768,1.6268681151808044,0.2556615834224578,-0.07379613,1.115467764900062,-0.0661571163586357,0.18118383,1.6459427801110131,0.11007905748180528,-0.24542633,1.3374416183978939,-0.18350432917148263,-0.0042464086,1.1410590658575446,-0.0037214625539718875,-0.075618215,1.3265331509002887,-0.057004391374570314,-0.13843477,1.097905137909518,-0.12608991700928934,0.2930544,1.7112688418877358,0.17124977367744737,0.09607574,1.5559895227994718,0.06174575215902345,0.06430741,1.3890693760278834,0.04629531660151904,0.41978282,2.2080186277266347,0.1901174256831091,0.04611156,1.6466744850278745,0.028002839527324335,-0.022366747,1.1121395756162138,-0.02011145700637506,-0.23503208,0.9862580207747295,-0.23830688993472574,1.74237,0.19251944,1.3859360438601782,0.014779867763270057
0.91,-0.0020017019,-0.041052386,1.0208622646143843,-0.04021344268237024,-0.16777812,1.1726321514315086,-0.1430782187236035,-0.10023482,1.2153885766401242,-0.08247141972971565,0.34183556,1.773977933624944,0.19269436892935468,-0.20379505,1.1431972229138454,-0.17826761780858624,0.20877938,1.392016842621896,0.14998337184786892,-0.10409832,1.034099941262712,-0.10066562800517377,0.07304029,1.097709939287819,0.06653879048810675,0.43969244,1.548508787280755,0.2839457168472974,0.1317505,1.4584328454279571,0.0903370317356327,0.02948652,1.0559366524102252,0.027924516256315736,0.07761172,1.2877696549137183,0.060268326525598534,-0.20434722,0.9979989412569898,-0.20475695373590713,-0.04284725,0.9193569787073022,-0.04660567184377359,-0.07396613,1.2000005260277429,-0.06163841515897025,0.015370902,1.1465142272885063,0.0134066384072566,0.13116518,1.540431109788183,0.08514835606511219,1.7402706,0.17603059,1.2355785056175657,0.006620573494967246
