step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.14713272,0.1971869,3.602350023374708,0.05473840711921902,0.08661311,3.5933512955496,0.0241037137964272,0.25004497,3.60525692098862,0.06935565957832393,0.08453324,3.5857256276750658,0.02357493174279588,0.21017604,2.8005380958116155,0.07504844732380714,0.13254088,3.450966226929537,0.03840689039477662,1.7391218,0.0630387,3.4396980317215244,0.04753800832589163
0.11,0.15100609,0.07556694,3.2937517277141986,0.02294251244675202,0.12646458,3.4408662431177586,0.03675370287410804,0.23732854,3.602506013068186,0.06587873646793531,0.41888645,3.4763365639055857,0.12049651845064013,0.08158199,3.6132675832997916,0.022578451653470378,0.19355787,3.649810214773925,0.05303231181302739,1.7566997,0.11798341,3.5127563909799076,0.05361370561765554
0.21,0.14648516,0.3987777,3.7162908867085247,0.10730529597031847,0.12530382,3.6243320240881403,0.034572941701473126,0.11576784,3.373123106160438,0.034320667502265007,0.09435171,3.278154221025192,0.02878196159407672,0.42129132,3.413610429401335,0.12341517294635208,0.052744437,3.5960681014071465,0.014667251987930143,1.73356,0.14943865,3.5002631281317966,0.05717721528373592
0.31,0.1504846,0.06942914,3.618358272037465,0.01918802163656171,0.21065816,3.49652262795457,0.06024790491789067,0.19034302,3.6374813031197353,0.05232824762102455,0.13136072,3.3611981105048363,0.039081518033055554,0.098907135,2.7341761567186813,0.036174382979660615,0.4364384,3.4549111199121687,0.1263240634350452,1.7461233,0.120713994,3.383774598374576,0.055557356437206384
0.41000000000000003,0.07600487,0.022413911,2.2184597895134326,0.010103366039748386,-0.074182205,1.9345403986986465,-0.03834616478005526,0.427079,2.2231362223667337,0.19210653302824024,0.121382296,2.544456235389776,0.04770461145965183,0.07113508,1.910730479162717,0.037229259765602735,0.42556635,3.304403463233233,0.12878764660198663,1.7288121,0.19357614,2.3559544313940894,0.0629308753525291
0.51,0.06634497,0.19892667,2.233806626910882,0.08905277204523918,0.11129709,2.077116160675639,0.05358250801708238,0.43136886,3.0627433928374588,0.14084394358043417,-0.10200553,1.9421988592613777,-0.052520639653885495,0.12617126,2.218232228820475,0.056879193906243644,0.049929272,1.7340168343904616,0.028793995186905154,1.7378179,0.16122663,2.2113523504827155,0.05277196218033651
0.61,0.03370703,0.17708656,2.0970450973920105,0.08444575757502416,-0.09007474,1.3632626064612006,-0.06607291942384104,0.004014652,1.174000581075887,0.003419633931284603,-0.018161837,1.227225883410798,-0.01479909872915894,0.12408744,1.9801303500587222,0.0626662976927997,0.3731513,1.902460377562078,0.19614143176838406,1.7138023,0.15291013,1.6240208159934493,0.044300183802415426
0.71,0.008037123,0.13977568,1.7025035799644266,0.08210007906024776,0.03147317,1.4704880518211443,0.021403214345694015,0.11412104,1.4621824647782844,0.07804842756699781,0.007354481,1.2885986660031055,0.005707348098187331,-0.023054183,1.1347289674044454,-0.020316906672597865,-0.100183375,1.2355905497057644,-0.08108137052652648,1.7401179,0.081020646,1.3823487132795285,0.014310131978667096
0.81,0.0048749787,0.02063065,0.9009245682725093,0.022899420161068555,-0.026531305,0.7902307652499371,-0.03357412332042947,-0.048265312,1.122022933775649,-0.04301633274516421,0.4500019,1.6492859060817806,0.2728465051258313,0.026690803,1.2870053780916402,0.020738688371142837,-0.060006972,0.8359430714628125,-0.0717835633200815,1.7392002,0.17718661,1.0975687704890549,0.02801843237872792
0.91,0.0023743222,0.026473865,1.1824439932046524,0.022389106854217636,-0.04792717,1.122022933775649,-0.04271496557616774,-0.06426104,0.7467177312557679,-0.08605800946170358,-0.039783068,0.8017130038713076,-0.049622580411152147,0.44527546,1.4635602393589877,0.3042412903402558,0.032926682,0.9011694202596346,0.03653772713829501,1.7391982,0.176697,1.0362712202876665,0.030795428147290832
1.01,-0.007584739,0.14962901,1.1352032027399785,0.13180813037619152,-0.07352042,0.7467177312557679,-0.09845811731050096,0.033565935,0.8940341742329658,0.037544353129739486,-0.053415388,0.794146506137498,-0.06726137741092438,0.12629357,1.205658560329564,0.10475069307243658,-0.06624175,1.122022933775649,-0.05903778491237657,1.7480516,0.09115673,0.9829638514119039,0.008224316157427613
1.11,-0.001524409,-0.017370747,1.122022933775649,-0.015481633110525786,-0.029949427,0.4993488054333499,-0.05997696665161733,0.20311718,1.1076726842845788,0.18337292213860282,0.00073895237,0.6249155807260202,0.001182483506399949,-0.016050996,0.4998339080070305,-0.03211265982905085,-0.030150732,0.7467177312557679,-0.04037768324424159,1.7577637,0.08326024,0.7667519405803995,0.006101077134927867
1.21,-0.0031809865,0.004886422,0.6263055357686208,0.007801977727438031,-0.032487363,0.7467177312557679,-0.043506885216961666,-0.01965028,1.122022933775649,-0.01751326098967739,-0.03213043,0.4993488054333499,-0.06434466455960465,-0.019108584,0.49978089675540793,-0.03823392265435802,0.17866167,1.0767339298446343,0.1659292693477885,1.7609764,0.07495742,0.7618183054722384,0.0016887522757708013
1.31,-0.0025735577,-0.031556375,0.49928566185550627,-0.06320304734458516,0.0014598658,0.6275581371736636,0.0023262638859460646,-0.017583866,1.122022933775649,-0.01567157421032346,-0.017574135,0.49981921805687074,-0.035160983369972615,-0.030371368,0.7467177312557679,-0.04067315755351078,0.19759531,1.0613015529551488,0.1861820635626304,1.7576756,0.081495754,0.7594508725121011,0.005633260828364073
1.41,-0.002861126,0.20418592,1.043456104021629,0.19568232644052458,-0.017199077,1.122022933775649,-0.015328632057685278,-0.030415809,0.7467177312557679,-0.04073267247964058,-0.020558065,0.49982376093603326,-0.04113062725345723,-0.031605482,0.49928566185550627,-0.06330140141414092,0.0022574523,0.6275581371736636,0.003597200343144977,1.7572442,0.084106304,0.7564773881697082,0.006464365596457591
1.51,-0.019858342,-0.013670935,0.49997949848266987,-0.02734299173668232,-0.030957874,0.6305814725986215,-0.04909416983516554,-0.005087062,0.8094988334417925,-0.006284211384879387,-0.030261558,0.49989864294056563,-0.06053538647600627,-0.011733369,0.49928566185550627,-0.023500312279845493,-0.013361407,0.49861645729945425,-0.026796964376682355,1.7988538,0.009687583,0.5729767611031017,-0.0322590060148769
1.61,-0.019858342,-0.030957874,0.6305814725986215,-0.04909416983516554,-0.013670935,0.49997949848266987,-0.02734299173668232,-0.005087062,0.8094988334417925,-0.006284211384879387,-0.011733369,0.49928566185550627,-0.023500312279845493,-0.030261558,0.49989864294056563,-0.06053538647600627,-0.013361407,0.49861645729945425,-0.026796964376682355,1.7988539,0.009687583,0.5729767611031017,-0.0322590060148769
1.71,-0.019858342,-0.013361407,0.49861645729945425,-0.026796964376682355,-0.030261558,0.49989864294056563,-0.06053538647600627,-0.005087062,0.8094988334417925,-0.006284211384879387,-0.011733369,0.49928566185550627,-0.023500312279845493,-0.013670935,0.49997949848266987,-0.02734299173668232,-0.030957874,0.6305814725986215,-0.04909416983516554,1.7988539,0.009687583,0.5729767611031017,-0.03225900601487689
1.81,-0.019858342,-0.013361407,0.49861645729945425,-0.026796964376682355,-0.030957874,0.6305814725986215,-0.04909416983516554,-0.011733369,0.49928566185550627,-0.023500312279845493,-0.013670935,0.49997949848266987,-0.02734299173668232,-0.005087062,0.8094988334417925,-0.006284211384879387,-0.030261558,0.49989864294056563,-0.06053538647600627,1.7988539,0.009687583,0.5729767611031017,-0.03225900601487689
