step,Silhouette Score,silhouette_clsuter_1,std_year_cluster_1,silhouette_by_std_year_cluster_1,silhouette_clsuter_2,std_year_cluster_2,silhouette_by_std_year_cluster_2,silhouette_clsuter_3,std_year_cluster_3,silhouette_by_std_year_cluster_3,silhouette_clsuter_4,std_year_cluster_4,silhouette_by_std_year_cluster_4,silhouette_clsuter_5,std_year_cluster_5,silhouette_by_std_year_cluster_5,silhouette_clsuter_6,std_year_cluster_6,silhouette_by_std_year_cluster_6,silhouette_clsuter_7,std_year_cluster_7,silhouette_by_std_year_cluster_7,std_tfidf,avg_std,avg_std_year,avg_silhouette_by_std_year
0.01,0.16357957,0.18473691,3.3618230458248037,0.05495140730609844,0.103446774,3.617437829000653,0.02859669718588691,0.41621226,3.4741295833193315,0.11980332072859731,0.068773285,3.5580259893351025,0.01932905626901656,0.18675563,3.658432700412149,0.05104798767315937,0.13474572,3.459183690564917,0.038953038954297275,0.24207488,3.566697590713158,0.06787087238738798,1.7506206,0.10633903,3.527961489881445,0.05436462578634912
0.11,0.15753739,0.4536727,2.6065572666520445,0.17405054279262183,0.14416404,3.617496889634517,0.03985187688696677,0.046731647,3.576875653280521,0.013064934773778085,0.10172458,3.6326947658692954,0.028002512318417435,0.19503017,3.592197068258303,0.0542927250351055,0.13460666,3.417412926631944,0.0393884679148348,0.24731171,3.536390372270867,0.06993337422546227,1.7339505,0.1232387,3.4256607060853557,0.059797776278169526
0.21,0.16027148,0.17781933,3.5891572229678204,0.04954347649695044,0.23879449,3.550502932580543,0.06725652540763889,0.08706896,3.5456047624225024,0.024556871367445075,0.41930518,2.440370033851712,0.17182032631380456,0.14066033,3.377553781171995,0.041645622769145706,0.09854775,3.5430283077395623,0.027814553162347717,0.11203327,3.642862124125633,0.030754189009095455,1.736709,0.10832314,3.384154166408538,0.05905593778948969
0.31,0.15896401,0.20421797,3.5462955827144595,0.05758627999500558,0.13261206,3.3440811094433722,0.03965575598818387,0.07241354,3.5979313514707854,0.020126437750678332,0.43989933,3.4392509602390575,0.12790556154710261,0.10771852,2.603755165379146,0.04137044884202124,0.15534684,3.6553221823578785,0.042498809371663615,0.22761498,3.51523306714948,0.06475103629497227,1.7427713,0.1128488,3.3859813455363112,0.05627061854137536
0.41000000000000003,0.09755074,0.067757174,2.553539811963372,0.026534606609706912,0.19715352,2.6421029942427157,0.07461992359644828,0.079735376,1.907031305075194,0.041811256967098274,0.121136375,2.5394087695620176,0.047702589761666414,0.42930862,3.3300957776538587,0.1289178004897939,0.43432453,2.2058726111233384,0.19689465772281806,-0.0962639,1.96470223429471,-0.04899668698843056,1.7228471,0.1810545,2.4489647862736006,0.06678344973701447
0.51,0.07393562,0.12733491,2.1975707849280144,0.057943484016201405,-0.13089126,1.878332239593994,-0.06968483036485988,0.17828792,2.2064214240846862,0.08080411175756697,0.42676213,3.0164089807598984,0.1414801960075174,0.20717505,2.0450053681776006,0.10130782511839759,0.02245983,1.7967661499276208,0.012500140447904675,0.15203846,2.018230258691721,0.07533256146303964,1.7479622,0.1584355,2.165533600880505,0.05709764120653825
0.61,0.05103671,0.3890878,1.9242870226120765,0.20219842031833948,-0.11645269,1.3764894422608709,-0.08460122025880268,0.17249773,2.1083211243446125,0.08181758102958547,0.42576465,2.6984250449208633,0.15778264840367892,0.105784036,1.9531415665798986,0.05416096714605077,0.017346593,1.3040808488669877,0.013301776983448704,-0.021229453,1.2149376790525857,-0.01747369741749312,1.7221738,0.19001217,1.7970975326625565,0.0581694966006868
0.71,0.021657754,0.118795,1.5992026704423066,0.07428389297513682,-0.13650922,1.1946818890807147,-0.11426407817858074,-0.027027272,1.2512854214319087,-0.02159960567354473,0.16057599,1.7308925160450241,0.09277062811237632,0.42267343,2.463298481194937,0.17158839549726487,-0.03113344,1.1184807018446206,-0.027835473013084214,0.084119625,1.4762391398140189,0.056982383897620816,1.7445139,0.16732332,1.5477258314076476,0.03313230623102702
0.81,0.010004093,0.079382494,1.5082748089484501,0.05263131998294931,-0.09869163,1.1367285134721359,-0.08682075466003633,-0.038243677,1.1360601771625065,-0.03366342579019672,-0.034969267,1.2543223093841391,-0.027879011831670995,0.08042615,1.3510487251949619,0.05952868136466143,0.41297165,1.6483276205849289,0.2505397837397733,0.0017163577,1.267585284150754,0.0013540372212297663,1.7381326,0.1570212,1.3289067769854108,0.030812947146672823
0.91,-0.0035202128,0.4186947,1.3963479467900506,0.29984983738010623,-0.08505974,0.7525064831043958,-0.11303522502343066,-0.036037557,0.889652449826044,-0.040507455281121124,-0.07568326,1.122022933775649,-0.06745250582284994,0.025401885,1.1144420581078223,0.022793365079074816,0.07955999,1.225399756566805,0.0649257426788225,0.02680942,0.8048240148625369,0.03331091013878324,1.7349187,0.16008496,1.0435993775761863,0.02855495273562644
